risk,K,n,rep,reason
cvar,250,50,0,interrupted_zero_byte_placeholder
cvar,250,50,1,interrupted_zero_byte_placeholder
cvar,250,50,2,interrupted_zero_byte_placeholder
cvar,250,50,3,interrupted_zero_byte_placeholder
cvar,250,50,4,interrupted_zero_byte_placeholder
cvar,250,50,5,interrupted_zero_byte_placeholder
cvar,250,50,6,interrupted_zero_byte_placeholder
cvar,250,50,7,interrupted_zero_byte_placeholder
cvar,250,50,8,interrupted_zero_byte_placeholder
cvar,250,50,9,interrupted_zero_byte_placeholder
msd,500,50,2,interrupted_zero_byte_placeholder
msd,500,50,9,interrupted_zero_byte_placeholder
msd,500,50,12,interrupted_zero_byte_placeholder
msd,500,50,13,interrupted_zero_byte_placeholder
msd,500,50,14,interrupted_zero_byte_placeholder
msd,500,50,15,interrupted_zero_byte_placeholder
msd,500,50,17,interrupted_zero_byte_placeholder
msd,500,50,18,interrupted_zero_byte_placeholder
msd,500,50,19,interrupted_zero_byte_placeholder
