risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.2645266017064059,0.034987161505169756,0.05475692245987551,0.048640971888526896,0.05475692245987551,0.4965628538077232,0.5025077703221679
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.17517613746619753,0.015343339568788068,0.030218186532280145,0.024955141182842422,0.030218186532280145,0.496106444883079,0.5010072407608706
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.15571591661177497,0.012123723343122629,0.025009663470395627,0.020268921301223264,0.025009663470395627,0.4966347519127832,0.5011603142562283
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.14775595514633397,0.010915911140602728,0.023200336383251086,0.018167874826117203,0.023200336383251086,0.4971689375448639,0.5015295559190317
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.143185588709265,0.0102510564070094,0.02211491984737496,0.016702932525006098,0.02211491984737496,0.4976219837326608,0.5019236837883951
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.14011710126446597,0.009816401033378306,0.02143577669744573,0.015626112764361766,0.02143577669744573,0.4980015965097345,0.5022960475327715
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.13786176813628825,0.009502933556831851,0.02100038597917875,0.014803223077037075,0.02100038597917875,0.49832479698257964,0.5026318417833
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.13610577533605883,0.00926239103991486,0.02068378039110197,0.014178504948789583,0.02068378039110197,0.4986049513857439,0.5029303445030238
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.13468307160083948,0.009069764887918427,0.020434759484011522,0.013697817136615942,0.020434759484011522,0.4988519281389851,0.5031954565852091
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.13349601928373436,0.008910593582301589,0.020226269589889267,0.0133155507321282,0.020226269589889267,0.4990730583135683,0.5034318504191972
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1000,1000,True,nan,nan,max_iter,,0.1324830654287283,0.008775881312696354,0.020044979331560242,0.0129990716846492,0.020044979331560242,0.4992736917077374,0.503643686435393
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1100,1100,True,nan,nan,max_iter,,0.13160340656616684,0.008659728309909904,0.01988355556643695,0.01273158754982151,0.01988355556643695,0.4994576116289911,0.5038343525374681
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1200,1200,True,nan,nan,max_iter,,0.13082878190599823,0.008558085087503624,0.019734986714227687,0.012498738774430584,0.019734986714227687,0.49962743986585884,0.5040065492655622
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1300,1300,True,nan,nan,max_iter,,0.13013878019522374,0.00846805105535038,0.01959586718393902,0.012291491029275847,0.01959586718393902,0.49978502019507104,0.504162446011165
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1400,1400,True,nan,nan,max_iter,,0.12951808921144525,0.008387467716491945,0.01946486176754081,0.01210905596294981,0.01946486176754081,0.4999317307137708,0.5043038222342553
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1500,1500,True,nan,nan,max_iter,,0.12895486474568948,0.008314678570789534,0.019341581170325584,0.011944080643106758,0.019341581170325584,0.5000686965058654,0.5044321782638758
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1600,1600,True,nan,nan,max_iter,,0.12843973851635873,0.008248383215075303,0.019225510536326818,0.01179388286063393,0.019225510536326818,0.5001969081465214,0.504548817280951
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1700,1700,True,nan,nan,max_iter,,0.12796518417737127,0.008187544180774275,0.01911504971432043,0.011655892201609785,0.01911504971432043,0.500317272631093,0.5046549018795281
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1800,1800,True,nan,nan,max_iter,,0.12752508603511828,0.00813132378413216,0.019010344451820926,0.011527312382800692,0.019010344451820926,0.5004306266658199,0.5047514892950341
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,1900,1900,True,nan,nan,max_iter,,0.12711442887651062,0.008079039014300737,0.01891046189520207,0.011407072358037618,0.01891046189520207,0.5005377348539004,0.5048395505470016
cvar,500,50,15328123,0.5,0.5,0.003,0.002,10.0,0.0001,0.0,2000,23,0.01,100,100,full_batch,0,2000,2000,True,nan,nan,max_iter,,0.12672906638408704,0.00803012813329117,0.018817209008302305,0.011294265135070591,0.018817209008302305,0.5006392855252045,0.5049199791407375
