risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,0,0,0,0,True,nan,nan,regret_tolerance,regret_tolerance,0.3092578517643486,0.04782020943894991,0.05633534188269085,0.05633534188269085,0.049381623846456946,0.5024844196545615,0.5001943039497472
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,100,100,0,100,True,nan,nan,regret_tolerance,regret_tolerance,0.9331716540292346,0.4354046679418288,0.060976846764496884,0.014676102302679683,0.060976846764496884,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,200,200,0,200,True,nan,nan,regret_tolerance,regret_tolerance,0.7462493668667428,0.27844405877450723,0.03030702290474563,0.014927822206471153,0.03030702290474563,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,300,300,0,300,True,nan,nan,regret_tolerance,regret_tolerance,0.7212548714068889,0.2601042947640839,0.021060247546120126,0.010499804309155536,0.021060247546120126,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,400,400,0,400,True,nan,nan,regret_tolerance,regret_tolerance,0.7120423854107368,0.2535021793107061,0.013814901844805272,0.008961801210167986,0.013814901844805272,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,500,500,0,500,True,nan,nan,regret_tolerance,regret_tolerance,0.710497007156794,0.2524029985893807,0.011915909194557539,0.008279737386765684,0.011915909194557539,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,600,600,0,600,True,nan,nan,regret_tolerance,regret_tolerance,0.7097178552085008,0.25184971700087727,0.011151460279505199,0.007808868112918033,0.011151460279505199,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,700,700,0,700,True,nan,nan,regret_tolerance,regret_tolerance,0.7092352450737432,0.2515073164274063,0.01063441340669824,0.007500009339562963,0.01063441340669824,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,800,800,0,800,True,nan,nan,regret_tolerance,regret_tolerance,0.7089122979616476,0.25127832310063186,0.010239810362214663,0.007294332944067006,0.010239810362214663,-1436.141973994677,-1937.7189372340497
cvar,1000,50,20428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,900,900,0,900,True,nan,nan,regret_tolerance,regret_tolerance,0.7086842784776533,0.251116703280696,0.009906490791672717,0.007158618289858754,0.009906490791672717,-1436.141973994677,-1937.7189372340497
