K,n,seed,gamma,epsilon,epsilon_scr,kappa,tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,methods,dual_success,dual_time_s,dual_eta,dual_regret1,dual_regret2,dual_screen_eta,dual_support_eta,dual_dual_eta,dual_support_violation,dual_mcp_time_s,dual_solver,dual_candidate_index,dual_has_profile,dual_best_dev1_success,dual_best_dev2_success,dual_error,restricted_mcp_success,restricted_mcp_time_s,restricted_mcp_eta,restricted_mcp_regret1,restricted_mcp_regret2,restricted_mcp_screen_eta,restricted_mcp_support_eta,restricted_mcp_dual_eta,restricted_mcp_support_violation,restricted_mcp_mcp_time_s,restricted_mcp_solver,restricted_mcp_candidate_index,restricted_mcp_has_profile,restricted_mcp_best_dev1_success,restricted_mcp_best_dev2_success,restricted_mcp_error,eta_diff_mcp_minus_dual,time_ratio_mcp_over_dual,x_l1_mcp_minus_dual,y_l1_mcp_minus_dual
5,5,50623,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.3107431251555681,0.003373331437922289,0.003373331437234506,0.003373331437922289,nan,0.003373331437922289,0.0033733314370718325,2.0936585798381202e-12,nan,,3,True,True,True,,True,0.441902750171721,0.007559229287859903,0.0,0.007559229287859903,nan,0.007559229287859903,nan,nan,0.01907266676425934,pathampl,3,True,True,True,,0.004185897849937614,1.422083754710551,0.15867466015476916,4.3551016091662906e-14
5,5,50624,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,2.8006549160927534,1.4432899320127035e-15,4.440892098500626e-16,1.4432899320127035e-15,nan,1.4432899320127035e-15,0.0,2.5979218776228663e-14,nan,,23,True,True,True,,True,0.7289461251348257,1.1102230246251565e-16,1.1102230246251565e-16,0.0,nan,1.1102230246251565e-16,nan,nan,0.016278499737381935,pathampl,23,True,True,True,,-1.3322676295501878e-15,0.2602770234012951,2.919886554764162e-14,1.84297022087776e-14
5,5,50625,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.10504599986597896,0.002307274355653921,0.002307274351467825,0.002307274355653921,nan,0.002307274355653921,0.0023072743476748466,3.682301685792311e-11,nan,,1,True,True,True,,True,0.03101000003516674,0.007775904869901151,0.007775904869901151,0.0,nan,0.007775904869901151,nan,nan,0.016131042037159204,pathampl,1,True,True,True,,0.00546863051424723,0.295204006575503,0.0,0.1574571909749224
5,5,50626,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.4018399170599878,0.007808171794879359,0.007808171793992846,0.007808171794879359,nan,0.007808171794879359,0.007808171792928783,2.997269099580535e-12,nan,,4,True,True,True,,True,0.3251894158311188,0.0,0.0,0.0,nan,0.0,nan,nan,0.01749158278107643,pathampl,11,True,True,True,,-0.007808171794879359,0.8092511520764962,1.9999999999999325,2.0
5,5,50627,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,4.00981979072094,0.00044007172413496054,0.000440071708486256,0.00044007172413496054,nan,0.00044007172413496054,0.0004400717084799589,2.0959234348083555e-11,nan,,35,True,True,True,,True,0.9688805420883,0.0068202864509908645,0.0068202864509908645,1.1102230246251565e-16,nan,0.0068202864509908645,nan,nan,0.01909791585057974,pathampl,35,True,True,True,,0.006380214726855904,0.24162695399189038,0.03375271818208468,0.06465637261512591
5,5,50628,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.15112945903092623,0.007392679395285262,0.007392679395285262,0.007392679393110835,nan,0.007392679395285262,0.007392679393336031,1.7372214777822137e-12,nan,,2,True,True,True,,False,0.44441816583275795,nan,nan,nan,nan,nan,nan,nan,nan,,,False,nan,nan,Cannot load a SolverResults object with bad status: error,nan,2.9406455146631267,nan,nan
5,5,50629,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.4491065419279039,0.005555497368261386,0.005555497368261386,0.005555497368260998,nan,0.005555497368261386,0.005555497368260602,2.220446049250313e-15,nan,,4,True,True,True,,True,0.6701880418695509,0.0,0.0,0.0,nan,0.0,nan,nan,0.016538250260055065,pathampl,22,True,True,True,,-0.005555497368261386,1.492269604875045,1.6477781571158467,1.1974457842886483
5,5,50630,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.20603099977597594,0.0004593635474227087,0.0004593635422466824,0.0004593635474227087,nan,0.0004593635474227087,0.00045936354203699516,4.215183757594332e-12,nan,,2,True,True,True,,True,0.05586649989709258,0.0024172819948610202,0.0,0.0024172819948610202,nan,0.0024172819948610202,nan,nan,0.014306708704680204,pathampl,2,True,True,True,,0.0019579184474383116,0.27115579673853935,0.04641061738139389,0.0
5,5,50631,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.2893367907963693,0.0055797025769975805,0.0055797025769974695,0.0055797025769975805,nan,0.0055797025769975805,0.005579702576998597,2.220446049250313e-16,nan,,3,True,True,True,,True,1.6515120421536267,2.2981949676648128e-10,2.2981949676648128e-10,1.9054058331136048e-10,nan,2.2981949676648128e-10,nan,nan,0.01908374996855855,pathampl,53,True,True,True,,-0.005579702347178084,5.7079227208126975,1.8923962103336194,0.7442968557717351
5,5,50632,0.5,0.01,0.006666666666666667,3,5,200,1,5,300,500,"dual,restricted_mcp",True,0.2041066251695156,0.0038256043084249347,0.0038256043084248237,0.0038256043084249347,nan,0.0038256043084249347,0.003825604308424109,8.881784197001252e-16,nan,,2,True,True,True,,True,0.05703595886006951,0.00842741272784836,0.00842741272784836,0.005980260740888088,nan,0.00842741272784836,nan,nan,0.015319833066314459,pathampl,2,True,True,True,,0.0046018084194234254,0.279441977019118,0.22401702364232717,0.09406598925315471
