risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,0,0,True,nan,nan,stagnation,,0.2645266017064113,0.03498716150517118,0.05475692245987551,0.04864097188852706,0.05475692245987551,0.4965628538077235,0.5025077703221681
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,0,100,True,nan,nan,stagnation,,0.7106484871892376,0.25251063617217595,0.031730277500888304,0.030601721422993222,0.031730277500888304,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,0,200,True,nan,nan,stagnation,,0.7101047082738826,0.252124348356368,0.02921311449528219,0.028566465238888283,0.02921311449528219,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,0,300,True,nan,nan,stagnation,,0.7098539089033254,0.25194628599266533,0.028106809847576297,0.027687543992653718,0.028106809847576297,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,0,400,True,nan,nan,stagnation,,0.7096932122148841,0.2518322277319403,0.02746534329889938,0.0271667345841774,0.02746534329889938,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,0,500,True,nan,nan,stagnation,,0.7095757904496567,0.25174890119612753,0.02706574978013143,0.02681710592607378,0.02706574978013143,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,0,600,True,nan,nan,stagnation,,0.7094838192894063,0.25168364491674144,0.02681757358994241,0.026564511808574998,0.02681757358994241,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,0,700,True,nan,nan,stagnation,,0.7094086457796199,0.2516303133534371,0.02665138333657524,0.026368892821776457,0.02665138333657524,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,0,800,True,nan,nan,stagnation,,0.7093454011319767,0.2515854490535425,0.02652443557284534,0.02621113994457558,0.02652443557284534,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,0,900,True,nan,nan,stagnation,,0.7092910614899616,0.2515469049547782,0.026428360812650542,0.026080677722888468,0.026428360812650542,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,0,1000,True,nan,nan,stagnation,,0.7092436128027474,0.25151325115074674,0.026351996683634527,0.025969726402064963,0.026351996683634527,-1160.5773810394649,-1449.1566427581856
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1100,1100,0,1100,True,nan,nan,stagnation,,0.7092016426286805,0.2514834849536093,0.02628531746529228,0.025873280979571867,0.02628531746529228,-1160.5773810394649,-1449.1566427581856
