risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.2645266017064059,0.034987161505169756,0.05475692245987551,0.048640971888526896,0.05475692245987551,0.4965628538077232,0.5025077703221679
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.16138701048400203,0.013022883576481691,0.02342714526724632,0.022413383224236527,0.02342714526724632,0.49649261874864703,0.5024442990065192
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.15128729901790428,0.01144392342206639,0.02243799045768724,0.019873429660394515,0.02243799045768724,0.4964929764226621,0.5024434494773238
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.14751255517959505,0.010879976967806538,0.022133458226293756,0.01866524525957003,0.022133458226293756,0.49649746478676277,0.5024464138277008
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.1454343568944032,0.010575576082644322,0.02191863274222794,0.01795876792514478,0.02191863274222794,0.496502486012404,0.5024500402369102
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.14403966499568643,0.010373712546034787,0.02176253663088401,0.017473683490894176,0.02176253663088401,0.4965073156234025,0.5024536382350018
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.14299855829022604,0.010224293836541587,0.021654735566937477,0.017104750851925643,0.021654735566937477,0.49651184438263046,0.5024570682245864
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.14217068374687808,0.010106251658527412,0.021572199737723674,0.01681130638441919,0.021572199737723674,0.496516085926775,0.5024603131885184
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.14148476696031026,0.01000896964090665,0.021508678649171387,0.016564491384991054,0.021508678649171387,0.496520074328882,0.5024633849812553
cvar,500,50,15328123,0.5,0.5,0.003,0.002,100.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.14089995293106558,0.009926398367988249,0.021457182054820556,0.016348936991704144,0.021457182054820556,0.49652384249224957,0.5024663010542406
