risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.2645266017064059,0.034987161505169756,0.05475692245987551,0.048640971888526896,0.05475692245987551,0.4965628538077232,0.5025077703221679
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.18074147215320632,0.01633373987805413,0.031023537702570936,0.027919245740803567,0.031023537702570936,0.49663349416381963,0.5024290044380421
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,stagnation,,0.16321933829779367,0.013320276197184807,0.025929633314264344,0.023148971789145545,0.025929633314264344,0.4967778961365176,0.502495799881468
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,stagnation,,0.1568523208443442,0.012301325277128546,0.02408496165803309,0.02146583850290562,0.02408496165803309,0.4969479987404374,0.5026084400083362
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,stagnation,,0.15326789698213578,0.011745524122663293,0.023410278170981957,0.020383764022167183,0.023410278170981957,0.49712474830079845,0.5027414286433413
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,stagnation,,0.150780587912602,0.011367392845634948,0.02326527260054012,0.019536760634859818,0.02326527260054012,0.49729924055669117,0.5028857303681489
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,stagnation,,0.14882210154677994,0.01107400895440004,0.023246008587115008,0.01887487084474182,0.023246008587115008,0.4974691117985425,0.5030359212200147
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,stagnation,,0.14715676620376583,0.010827556919774899,0.023251423050763553,0.01835758390865927,0.023251423050763553,0.4976337844110431,0.5031886069392915
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,stagnation,,0.1456726938734794,0.01061026687017822,0.02325006299140242,0.01796434955131021,0.02325006299140242,0.49779310877719696,0.5033416714131973
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.0,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,stagnation,,0.1443115580041352,0.01041291288679044,0.023236164269917814,0.01764977442650356,0.023236164269917814,0.49794710655549806,0.5034937688274514
