risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,0,0,True,nan,nan,max_iter,,0.28467722421588765,0.04052056099363138,0.049840916546347924,0.049840916546347924,0.0462218028929029,0.5014613078650391,0.5034863618457353
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,0,100,True,nan,nan,max_iter,,0.7098782629439622,0.25196357410016856,0.029234697776393204,0.029234697776393204,0.026691136705113028,-1678.292465581365,-1459.758008773467
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,0,200,True,nan,nan,max_iter,,0.7090088937410783,0.2513468057019739,0.029667038077811902,0.02543414475150363,0.029667038077811902,-1678.292465581365,-1459.758008773467
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,0,300,True,nan,nan,max_iter,,0.7086652741551674,0.2511032353967093,0.030082724123974725,0.023682576525263288,0.030082724123974725,-1678.292465581365,-1459.758008773467
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,0,400,True,nan,nan,max_iter,,0.7084788147581834,0.2509711154805802,0.030027678628423815,0.02260476317859761,0.030027678628423815,-1678.292465581365,-1459.758008773467
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,0,500,True,nan,nan,max_iter,,0.7083625537478973,0.2508887537761213,0.02985355802869427,0.021823661701834807,0.02985355802869427,-1678.292465581365,-1459.758008773467
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,0,600,True,nan,nan,max_iter,,0.7082836339933593,0.25083285309141945,0.029654615837958476,0.021200884915771878,0.029654615837958476,-1678.292465581365,-1459.758008773467
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,1,0,True,nan,nan,max_iter,,0.4432211417384768,0.09822249024197947,0.07728259476591565,0.07728259476591565,0.0716895447669959,0.4991892998413725,0.501460543208142
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,1,100,True,nan,nan,max_iter,,0.8510671420053774,0.3621576401006006,0.017747663993055274,0.00647339286590265,0.017747663993055274,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,1,200,True,nan,nan,max_iter,,0.7497396233005397,0.28105475137341757,0.02579821512351832,0.02579821512351832,0.007273043397223233,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,1,300,True,nan,nan,max_iter,,0.7233184202412225,0.26159476853012886,0.017570579415252308,0.017570579415252308,0.01167159161351805,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,1,400,True,nan,nan,max_iter,,0.7147655935371586,0.25544492685226333,0.013223827692673606,0.013223827692673606,0.01263843524844599,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1100,1100,1,500,True,nan,nan,max_iter,,0.7123502700243768,0.25372145360190124,0.012491966047180392,0.012491966047180392,0.011675268138187755,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1200,1200,1,600,True,nan,nan,max_iter,,0.7109034256565191,0.252691840305087,0.012023190697512343,0.012023190697512343,0.010809931428588437,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1300,1300,1,700,True,nan,nan,max_iter,,0.7100374752110998,0.2520766081020766,0.011693862379541287,0.011693862379541287,0.010127369185727875,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1400,1400,1,800,True,nan,nan,max_iter,,0.7095233971283822,0.2517117255363,0.011457807095017647,0.011457807095017647,0.009617801718730501,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1500,1500,1,900,True,nan,nan,max_iter,,0.7091918997240033,0.2514765753170704,0.011254444975016042,0.011254444975016042,0.00930603127469165,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1600,1600,1,1000,True,nan,nan,max_iter,,0.7089602903980605,0.25131234668065117,0.011076502128021581,0.011076502128021581,0.009118945387889488,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1700,1700,1,1100,True,nan,nan,max_iter,,0.7087906739166544,0.25119210971561257,0.010924481495368177,0.010924481495368177,0.008981392736305716,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1800,1800,1,1200,True,nan,nan,max_iter,,0.7086624797362994,0.25110125509300046,0.010792309933297606,0.010792309933297606,0.008865919187378002,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,1900,1900,1,1300,True,nan,nan,max_iter,,0.7085631908193124,0.25103089769202264,0.010677505691582434,0.010677505691582434,0.008762270360271107,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2000,2000,1,1400,True,nan,nan,max_iter,,0.7084846916232892,0.2509752791322736,0.010579480860655188,0.010579480860655188,0.008670816948915694,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2100,2100,1,1500,True,nan,nan,max_iter,,0.7084214989347823,0.2509305100765019,0.010495902269875068,0.010495902269875068,0.008589968291033978,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2200,2200,1,1600,True,nan,nan,max_iter,,0.7083697940909602,0.2508938825902347,0.010425131083435235,0.010425131083435235,0.008515424439427433,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2300,2300,1,1700,True,nan,nan,max_iter,,0.7083268534406817,0.2508634656525885,0.010363526718822902,0.010363526718822902,0.008446951255949742,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2400,2400,1,1800,True,nan,nan,max_iter,,0.708290696088494,0.25083785508276174,0.010310826863174416,0.010310826863174416,0.008385751958078558,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2500,2500,1,1900,True,nan,nan,max_iter,,0.708259857653086,0.2508160129813848,0.010267400402929061,0.010267400402929061,0.008329716013410815,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2600,2600,1,2000,True,nan,nan,max_iter,,0.7082332404184211,0.2507971614167885,0.010229305650080511,0.010229305650080511,0.008276987489912346,-2146.5053045397626,-2118.922213522116
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2600,2600,2,0,True,nan,nan,max_iter,,0.41895153412421615,0.08776019397251712,0.0788950362582379,0.06929246447643655,0.0788950362582379,0.5043243148282568,0.5061024276886301
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2700,2700,2,100,True,nan,nan,max_iter,,0.799334942352864,0.3194681750331282,0.0801030582607084,0.0801030582607084,0.05987092759207513,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2800,2800,2,200,True,nan,nan,max_iter,,0.7320579700013726,0.2679544357212653,0.051128997194053616,0.051128997194053616,0.031250082033974724,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,2900,2900,2,300,True,nan,nan,max_iter,,0.7213715271935536,0.2601884401227799,0.04234618335456908,0.04234618335456908,0.03111681695508761,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3000,3000,2,400,True,nan,nan,max_iter,,0.7172166798698886,0.25719988294179313,0.03875349129127337,0.03875349129127337,0.030994333271144536,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3100,3100,2,500,True,nan,nan,max_iter,,0.7148724625635928,0.2555213188658677,0.03581484239079302,0.03581484239079302,0.030724093026849975,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3200,3200,2,600,True,nan,nan,max_iter,,0.7134054447995323,0.2544736643348092,0.033319084605439864,0.033319084605439864,0.030353852236441492,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3300,3300,2,700,True,nan,nan,max_iter,,0.7124175471569586,0.25376938074856864,0.031170023432552485,0.031170023432552485,0.02993614092433372,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3400,3400,2,800,True,nan,nan,max_iter,,0.7117140764642852,0.2532684633187052,0.029503247938270638,0.029305152076064545,0.029503247938270638,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3500,3500,2,900,True,nan,nan,max_iter,,0.7111904614648772,0.2528959362393125,0.029065008852138807,0.02765332472110915,0.029065008852138807,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3600,3600,2,1000,True,nan,nan,max_iter,,0.7107864564660402,0.252608693347775,0.02863285636064905,0.02615728617621671,0.02863285636064905,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3700,3700,2,1100,True,nan,nan,max_iter,,0.7104653795119678,0.25238052774254216,0.028225394927560488,0.02477858073142425,0.028225394927560488,-1707.0260848378548,-1858.1364997062299
cvar,500,50,15428123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,3800,3800,2,1200,True,nan,nan,max_iter,,0.7102038545527809,0.25219475751081377,0.027848521032132645,0.023500043521582303,0.027848521032132645,-1707.0260848378548,-1858.1364997062299
