risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.3094581489022535,0.047882172961004645,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.25689555754738236,0.03299766374379022,0.0637136869208445,0.0637136869208445,0.042091020185438255,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,stagnation,,0.23761292433495096,0.028229950905503565,0.06358863201961484,0.06358863201961484,0.04164528345341745,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,stagnation,,0.2241577933633943,0.025123358162773092,0.06350324076568814,0.06350324076568814,0.0414380450358402,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,stagnation,,0.2136169685624744,0.022816104628910587,0.06343662887437534,0.06343662887437534,0.04134814179554924,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,stagnation,,0.2048832479613248,0.02098857264759085,0.06338207246196242,0.06338207246196242,0.04131034083181023,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,stagnation,,0.19739866451738097,0.019483116376622762,0.06333566220381398,0.06333566220381398,0.04129948383036347,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,stagnation,,0.19083715761351902,0.01820941036300355,0.06329504312489836,0.06329504312489836,0.041308519062399685,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,0,0,True,nan,nan,stagnation,,0.3094581489022535,0.047882172961004645,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,100,100,True,nan,nan,stagnation,,0.2568942335695284,0.0329973236206377,0.06370726341059146,0.06370726341059146,0.04207919106584185,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,200,200,True,nan,nan,stagnation,,0.237591819651327,0.02822493638261435,0.06358613849206668,0.06358613849206668,0.0416323057999789,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,300,300,True,nan,nan,stagnation,,0.22414470849764034,0.025120425173746082,0.06350161932271592,0.06350161932271592,0.04142300907470303,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,400,400,True,nan,nan,stagnation,,0.21360274486178496,0.0228130663062444,0.06343847248678408,0.06343847248678408,0.04133416093780273,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,500,500,True,nan,nan,stagnation,,0.20486989496909283,0.020985836932323563,0.06338639564607851,0.06338639564607851,0.041294645117323336,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,600,600,True,nan,nan,stagnation,,0.19739067207731995,0.019481538711568026,0.06333953263352121,0.06333953263352121,0.04128467286828519,nan,nan
msd,500,50,14128123,0.5,nan,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,700,700,True,nan,nan,stagnation,,0.19081986356972117,0.0182061101663835,0.06329758763174193,0.06329758763174193,0.041292893017035814,nan,nan
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.26895991653253076,0.036169718350592954,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.7156840573441183,0.2561018349682696,0.05357052130465478,0.043344154915874844,0.05357052130465478,0.13136390506300213,-0.03385889377295497
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,stagnation,,0.7144092851594139,0.2551903133609924,0.05354928564947653,0.043239509146948296,0.05354928564947653,0.13136665486432708,-0.033858893231832554
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,stagnation,,0.713564890878829,0.2545874267474576,0.0535376472708573,0.04316676029096256,0.0535376472708573,0.1313687525987159,-0.03385889282030884
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,stagnation,,0.7129316851727369,0.2541357938616192,0.053530068312027224,0.043115992162126804,0.053530068312027224,0.13137051289810464,-0.03385889247578531
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,stagnation,,0.7124270579574045,0.25377615645492146,0.05352500682335787,0.04307730848754138,0.05352500682335787,0.13137205777739316,-0.03385889217399782
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,stagnation,,0.7120097352956205,0.25347893157786977,0.05352161822975904,0.04304556042691782,0.05352161822975904,0.131373449821026,-0.033858891902506384
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,0,0,True,nan,nan,stagnation,,0.26895991653253076,0.036169718350592954,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,100,100,True,nan,nan,stagnation,,0.7156742433282599,0.25609481128173867,0.05357254488128538,0.04333120734287166,0.05357254488128538,0.04105685272257621,-0.1291241214168749
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,200,200,True,nan,nan,stagnation,,0.7144009470106457,0.2551843565448537,0.053551348600628546,0.043227809336063294,0.053551348600628546,0.04105688269114984,-0.12912412141230106
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,300,300,True,nan,nan,stagnation,,0.7135575284959175,0.25458217323660104,0.053539646467719804,0.04315601843297101,0.053539646467719804,0.04105690548990913,-0.12912412140878862
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,400,400,True,nan,nan,stagnation,,0.7129250536135732,0.2541310660349581,0.05353202391528328,0.04310616985338056,0.05353202391528328,0.0410569246691942,-0.1291241214058414
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,500,500,True,nan,nan,stagnation,,0.7124210083004962,0.2537718465339478,0.05352691539959192,0.04306804591078739,0.05352691539959192,0.04105694157764781,-0.129124121403284
cvar,500,50,15128123,0.5,0.5,0.1,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,600,600,True,nan,nan,stagnation,,0.7120041665338583,0.25347496658078716,0.05352349046477134,0.04303707252773459,0.05352349046477134,0.041056956936766975,-0.1291241214009587
