risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.26841497294615796,0.036023298850843356,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.7186506045430033,0.2582293457050121,0.05135563846759306,0.041008501498638716,0.05135563846759306,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.7182749938315554,0.2579594833818604,0.05066603104790596,0.04015298917116905,0.05066603104790596,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.7179992858195123,0.2577614872186649,0.050151832585320355,0.03952217469033381,0.050151832585320355,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.7177748704855499,0.25760038235027394,0.0497279863763217,0.03901025117601975,0.0497279863763217,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.7175829829390107,0.25746266870182427,0.04936147372350996,0.0385708710239262,0.04936147372350996,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.717414037563771,0.2573414506467759,0.04903633176725719,0.038182128289589445,0.04903633176725719,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.7172623629588228,0.25723264865863704,0.04874067511997204,0.03783048923864518,0.04874067511997204,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.7171242784963582,0.25713361540446117,0.048468977865927465,0.03750929540792247,0.048468977865927465,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.7169972374266627,0.25704251923873306,0.048216475513784385,0.037211681517980266,0.048216475513784385,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,True,nan,nan,max_iter,,0.7168793923701157,0.2569580316024731,0.047980480179798946,0.03693400790427426,0.047980480179798946,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1100,1100,True,nan,nan,max_iter,,0.7167693537081016,0.2568791532075648,0.0477588976788082,0.03667332775545762,0.0477588976788082,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1200,1200,True,nan,nan,max_iter,,0.7166660455781143,0.25680511044228593,0.04754920675472346,0.036427294030982105,0.04754920675472346,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1300,1300,True,nan,nan,max_iter,,0.7165686152513371,0.2567352901816094,0.04734993489830025,0.03619409172511634,0.04734993489830025,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1400,1400,True,nan,nan,max_iter,,0.7164763735526796,0.25666919692959944,0.04715951647925781,0.03597207078816589,0.04715951647925781,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1500,1500,True,nan,nan,max_iter,,0.7163887542517152,0.2566064236091622,0.046977520168889675,0.03576045649690218,0.046977520168889675,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1600,1600,True,nan,nan,max_iter,,0.7163052855340767,0.2565466310420276,0.046803026299959805,0.035557382926626024,0.046803026299959805,-16.638105782020993,-31.580041984610432
cvar,500,50,15128123,0.5,0.5,0.003,0.002,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1700,1700,True,nan,nan,max_iter,,0.7162255694368116,0.2564895331575425,0.04663533928183916,0.0353621837921152,0.04663533928183916,-16.638105782020993,-31.580041984610432
