risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,0,0,0,0,True,nan,nan,stagnation,,0.2852188286694951,0.0406748901137994,0.05138610150343015,0.05138610150343015,0.051338512316658536,0.5117492263606116,0.49899126650381026
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,100,100,0,100,True,nan,nan,stagnation,,0.7101063066211857,0.2521254833515907,0.02811444222834958,0.02811444222834958,0.019576892182503136,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,200,200,0,200,True,nan,nan,stagnation,,0.7092737365652555,0.2515346166906197,0.02487289724684627,0.02487289724684627,0.018210184616940794,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,300,300,0,300,True,nan,nan,stagnation,,0.7088889725853103,0.25126178772652835,0.022564936902130128,0.022564936902130128,0.01767798457511982,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,400,400,0,400,True,nan,nan,stagnation,,0.70865869660254,0.2510985741352054,0.020910730001017175,0.020910730001017175,0.017377651740239197,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,500,500,0,500,True,nan,nan,stagnation,,0.7085025469177567,0.250987929494474,0.01970043711109082,0.01970043711109082,0.01713889905968402,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,600,600,0,600,True,nan,nan,stagnation,,0.7083880046144182,0.2509067825407985,0.018755494293845598,0.018755494293845598,0.016928643435348834,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,700,700,0,700,True,nan,nan,stagnation,,0.708299439700368,0.2508440481399276,0.017992564864108163,0.017992564864108163,0.016740825150192595,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,800,800,0,800,True,nan,nan,stagnation,,0.7082283941753084,0.25079372915806797,0.01736690720537648,0.01736690720537648,0.016567459769223025,-1705.06165328218,-1353.1645865422201
cvar,1000,50,20228123,0.5,0.5,0.01,0.002,500.0,0.5,2000,32,0.01,100,100,full_batch,0,900,900,0,900,True,nan,nan,stagnation,,0.7081698486825977,0.25075226729156663,0.016849717691871935,0.016849717691871935,0.016408695789818517,-1705.06165328218,-1353.1645865422201
