risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,0,0,0,0,True,nan,nan,regret_tolerance,regret_tolerance,0.3157762390223043,0.04985731656553572,0.07416459995215308,0.07416459995215308,0.06936273467945242,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,100,100,0,100,True,nan,nan,regret_tolerance,regret_tolerance,2.889524691086078,4.1746764701980466,0.34979027255170453,0.26594992303773474,0.34979027255170453,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,200,200,0,200,True,nan,nan,regret_tolerance,regret_tolerance,2.591536144998652,3.3580297954172367,0.3822715196459444,0.3822715196459444,0.02570536061143258,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,300,300,0,300,True,nan,nan,regret_tolerance,regret_tolerance,2.0319878692206323,2.064487350329903,0.3416314574916892,0.3416314574916892,0.12122659386974943,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,400,400,0,400,True,nan,nan,regret_tolerance,regret_tolerance,1.5111604379412882,1.141802934599453,0.06352643883678177,0.05258872869239195,0.06352643883678177,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,500,500,0,500,True,nan,nan,regret_tolerance,regret_tolerance,1.294327832815768,0.8376422694007812,0.04942633047324507,0.04942633047324507,0.0113594382264669,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,600,600,0,600,True,nan,nan,regret_tolerance,regret_tolerance,3.6212634056133166,6.556774326417078,0.428773143962399,0.34779712492680787,0.428773143962399,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,700,700,0,700,True,nan,nan,regret_tolerance,regret_tolerance,3.030445079921509,4.59179869121024,0.4088822044606375,0.03330645899420015,0.4088822044606375,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,800,800,0,800,True,nan,nan,regret_tolerance,regret_tolerance,2.022803117378277,2.0458662258376377,0.019199054840479235,0.01594819807465453,0.019199054840479235,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,900,900,0,900,True,nan,nan,regret_tolerance,regret_tolerance,1.544877965151349,1.193323963605086,0.13839228646361057,0.13839228646361057,0.013447842177963687,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,1000,1000,0,1000,True,nan,nan,regret_tolerance,regret_tolerance,2.2162298860047605,2.4558374538103367,0.26790518277570385,0.1944364561615053,0.26790518277570385,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,full_batch,0,1100,1100,0,1100,True,nan,nan,regret_tolerance,regret_tolerance,1.6536701778948286,1.367312528629357,0.020546695534175208,0.0174661007000515,0.020546695534175208,nan,nan
