risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.30959630460060833,0.047924935911176324,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.17706359090148013,0.015675757611463358,0.02759193657515907,0.02759193657515907,0.027483784283265977,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,stagnation,,0.17184046166772007,0.014764572133087586,0.027123922838606707,0.027123922838606707,0.02595286247901618,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,stagnation,,0.16923083670917227,0.014319538046643265,0.027067921511593596,0.027067921511593596,0.02470823059267352,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,stagnation,,0.16760625461104248,0.014045928292370799,0.027072357877785114,0.027072357877785114,0.023914071060752495,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,stagnation,,0.16647261703502286,0.013856566111244693,0.02708706991390858,0.02708706991390858,0.023370854366878635,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,stagnation,,0.16561911333908197,0.01371484535161184,0.02708759886954204,0.02708759886954204,0.022959406222232304,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,stagnation,,0.16494253212096502,0.013603019451237788,0.027076321990023355,0.027076321990023355,0.022621695501937156,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,minibatch,0,0,0,True,nan,nan,stagnation,,0.30959630460060833,0.047924935911176324,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,minibatch,0,100,100,True,nan,nan,stagnation,,0.17728013443318233,0.0157141230323236,0.027747642144522522,0.027747642144522522,0.027533544464352133,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,minibatch,0,200,200,True,nan,nan,stagnation,,0.1720250225404119,0.014796304190014613,0.027288556899145444,0.027288556899145444,0.026278139930504818,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,minibatch,0,300,300,True,nan,nan,stagnation,,0.1693630679204788,0.01434192438771836,0.027088580513251415,0.027088580513251415,0.024909262787273734,nan,nan
msd,500,50,14128123,0.5,nan,0.001,0.002,200.0,0.5,2000,23,0.01,100,100,minibatch,0,400,400,True,nan,nan,stagnation,,0.1677074211721448,0.01406288955810558,0.027072595840738234,0.027072595840738234,0.024290888915308506,nan,nan
