risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.3094581489022535,0.047882172961004645,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.30490769872160256,0.04648435236985178,0.06333433757742662,0.06333433757742662,0.042875862586053415,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.30294762578404866,0.04588863198409599,0.06300651640048316,0.06300651640048316,0.04249127814464082,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.3014677362834575,0.04544139800993614,0.062755486805806,0.062755486805806,0.04220242477061853,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.3002362685772172,0.04507090848458545,0.06254429658774685,0.06254429658774685,0.041962743728912844,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.2991633569575824,0.04474935707306493,0.06235859050392961,0.06235859050392961,0.041754702859616744,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.29820291287858935,0.04446248862463777,0.06219089898277064,0.06219089898277064,0.04157053383787229,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.29732756734002014,0.04420184115016711,0.06203703266104488,0.06203703266104488,0.041403722058433845,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.2965194971440227,0.043961906093272045,0.06189416944716525,0.06189416944716525,0.04124986506144379,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.29576632972174105,0.04373886089853482,0.06176022987050733,0.06176022987050733,0.04110732333410594,nan,nan
