risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.26895991653253065,0.036169718350592926,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.2640715516249412,0.034866892188802,0.05381211702482158,0.043682357517116355,0.05381211702482158,0.49121454383512914,0.49516570192601683
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,stagnation,,0.264058434150148,0.03486342832291403,0.053811789761559314,0.04368197334923141,0.053811789761559314,0.49112982502951963,0.4950447820234747
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,stagnation,,0.26405627555859135,0.034862858330937364,0.053811539698288446,0.0436816795431304,0.053811539698288446,0.49110992038526347,0.4950165007061961
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,stagnation,,0.2640550087470132,0.03486252382219261,0.05381132910240455,0.043681432052756985,0.05381132910240455,0.4911033623426947,0.49500719326641257
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,stagnation,,0.2640539617463889,0.03486224735698171,0.05381114362192374,0.04368121406137826,0.05381114362192374,0.4911007979452233,0.4950035425727892
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,minibatch,0,0,0,True,nan,nan,stagnation,,0.26895991653253065,0.036169718350592926,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,minibatch,0,100,100,True,nan,nan,stagnation,,0.26408559500273027,0.03487060074397304,0.0538121153189739,0.04368234444581498,0.0538121153189739,0.4912000426546198,0.4952788155976941
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,minibatch,0,200,200,True,nan,nan,stagnation,,0.26405878572575564,0.034863521159480264,0.05381178604829867,0.04368196126944612,0.05381178604829867,0.49115080226139884,0.4950380194188338
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,minibatch,0,300,300,True,nan,nan,stagnation,,0.2640579284222832,0.03486329478133382,0.053811539985763934,0.04368166691549047,0.053811539985763934,0.4911269823347462,0.49507187755754695
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,minibatch,0,400,400,True,nan,nan,stagnation,,0.26405691831614997,0.03486302805531095,0.0538113278606791,0.0436814202718539,0.0538113278606791,0.49117658282570115,0.4949795950013815
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.001,0.5,2000,23,0.01,100,100,minibatch,0,500,500,True,nan,nan,stagnation,,0.26405395447833574,0.0348622454378235,0.05381114133893,0.04368119991432551,0.05381114133893,0.49109655734599184,0.4949962228797911
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.01,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,stagnation,,0.26895991653253065,0.036169718350592926,0.053812909281679255,0.043683273379414134,0.053812909281679255,0.4933989350088295,0.49834732256494835
cvar,500,50,15128123,0.5,0.5,0.01,0.02,0.01,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,stagnation,,0.26402283626994316,0.034854029036012604,0.05380554023823192,0.04367462851936055,0.05380554023823192,0.4911003879400758,0.4950016352208514
