risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.3094581489022535,0.047882172961004645,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.2712651493180134,0.03679239061726205,0.05698644408493014,0.05698644408493014,0.03662684318095538,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.2586032563140923,0.03343782208812606,0.05417017615686048,0.05417017615686048,0.03422287866218521,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.2504186688304355,0.031354754849403664,0.05221262026314444,0.05221262026314444,0.03261540828655629,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.2444555543803572,0.029879259033703892,0.05070953369136455,0.05070953369136455,0.03143820134984593,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.23982890998664652,0.0287589530326915,0.049500749038632996,0.049500749038632996,0.030603731014220703,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.23608496954953492,0.027868056423602416,0.048498521522914784,0.048498521522914784,0.02996373329736074,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.2329596646933799,0.027135102687025996,0.04764810862960667,0.04764810862960667,0.029476305605635023,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.23028745356195418,0.026516155634024603,0.04692038880347754,0.04692038880347754,0.02910286782192184,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.2279590778078168,0.025982670577495134,0.0462917130506208,0.0462917130506208,0.028798377891509797,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,10.0,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,True,nan,nan,max_iter,,0.22589946999807609,0.02551528527270584,0.045739441912446166,0.045739441912446166,0.02854237754860761,nan,nan
