,sample,gamma,x,y,in_sample_payoff1,in_sample_payoff2,oos_mean1,oos_std1,oos_min1,oos_mean2,oos_std2,oos_min2
0,0,0.0,[0. 1.],[0. 1.],0.7999999463554921,0.7999999463554921,0.7634999488030225,0.4249326132268863,0.0,0.7634999488030225,0.4249326132268863,0.0
1,0,0.1,[0. 1.],[0. 1.],0.7999999941005648,0.7999999941005648,0.7634999943697267,0.42493263858743613,0.0,0.7634999943697267,0.42493263858743613,0.0
2,0,0.2,[0. 1.],[0. 1.],0.7999999939751951,0.7999999939751951,0.7634999942500768,0.42493263852084406,0.0,0.7634999942500768,0.42493263852084406,0.0
3,0,0.30000000000000004,[0. 1.],[0. 1.],0.7999999937679967,0.7999999937679967,0.763499994052332,0.4249326384107874,0.0,0.763499994052332,0.4249326384107874,0.0
4,0,0.4,[0. 1.],[0. 1.],0.7999999934765615,0.7999999934765615,0.7634999937741932,0.4249326382559869,0.0,0.7634999937741932,0.4249326382559869,0.0
5,0,0.5,[0. 1.],[0. 1.],0.7999999930975783,0.7999999930975783,0.7634999934125012,0.424932638054684,0.0,0.7634999934125012,0.424932638054684,0.0
6,0,0.6000000000000001,[0. 1.],[0. 1.],0.7999999926268611,0.7999999926268611,0.7634999929632605,0.4249326378046551,0.0,0.7634999929632605,0.4249326378046551,0.0
7,0,0.7000000000000001,[0. 1.],[0. 1.],0.7999999920593854,0.7999999920593854,0.7634999924216758,0.42493263750323146,0.0,0.7634999924216758,0.42493263750323146,0.0
8,0,0.8,[0. 1.],[0. 1.],0.7999999702254604,0.7999999702254604,0.7634999715839236,0.4249326259057972,0.0,0.7634999715839236,0.4249326259057972,0.0
9,0,0.9,[0. 1.],[0. 1.],0.7999999675765941,0.7999999675765941,0.7634999690559118,0.42493262449881,0.0,0.7634999690559118,0.42493262449881,0.0
10,0,1.0,[0. 1.],[0. 1.],0.7999999645413535,0.7999999645413535,0.7634999661591543,0.42493262288659395,0.0,0.7634999661591543,0.42493262288659395,0.0
11,1,0.0,[0. 1.],[0. 1.],0.7999999954506269,0.7999999954506269,0.7634999956581918,0.42493263930454295,0.0,0.7634999956581918,0.42493263930454295,0.0
12,1,0.1,[0. 1.],[0. 1.],0.8000000083221388,0.8000000083221388,0.7635000079424409,0.42493264614144993,0.0,0.7635000079424409,0.42493264614144993,0.0
13,1,0.2,[0. 1.],[0. 1.],0.8000000084413996,0.8000000084413996,0.7635000080562607,0.42493264620479715,0.0,0.7635000080562607,0.42493264620479715,0.0
14,1,0.30000000000000004,[0. 1.],[0. 1.],0.8000000086461589,0.8000000086461589,0.7635000082516782,0.4249326463135584,0.0,0.7635000082516782,0.4249326463135584,0.0
15,1,0.4,[0. 1.],[0. 1.],0.8000000089375268,0.8000000089375268,0.7635000085297518,0.42493264646832285,0.0,0.7635000085297518,0.42493264646832285,0.0
16,1,0.5,[0. 1.],[0. 1.],0.7999999999999038,0.7999999999999038,0.7634999999999079,0.42493264172096334,0.0,0.7634999999999079,0.42493264172096334,0.0
17,1,0.6000000000000001,[0. 1.],[0. 1.],0.7999999960775577,0.7999999960775577,0.7634999962565192,0.4249326396375472,0.0,0.7634999962565192,0.4249326396375472,0.0
18,1,0.7000000000000001,[0. 1.],[0. 1.],0.7999999999999965,0.7999999999999965,0.763499999999997,0.42493264172101247,0.0,0.763499999999997,0.42493264172101247,0.0
19,1,0.8,[0. 1.],[0. 1.],0.7999999998659939,0.7999999998659939,0.7634999998721079,0.4249326416498349,0.0,0.7634999998721079,0.4249326416498349,0.0
20,1,0.9,[0.84 0.16],[0.84 0.16],2.1172881239970307,2.1172881239970316,1.9359360776464765,1.1547788236935066,0.02556901912612239,1.9359360776464776,1.154778823693507,0.02556901912612239
21,1,1.0,[0. 1.],[0. 1.],0.7999999999999999,0.7999999999999999,0.7635,0.42493264172101436,0.0,0.7635,0.42493264172101436,0.0
22,2,0.0,[0. 1.],[0. 1.],0.7999999954506269,0.7999999954506269,0.7634999956581918,0.42493263930454295,0.0,0.7634999956581918,0.42493263930454295,0.0
23,2,0.1,[0. 1.],[0. 1.],0.8000000083221388,0.8000000083221388,0.7635000079424409,0.42493264614144993,0.0,0.7635000079424409,0.42493264614144993,0.0
24,2,0.2,[0. 1.],[0. 1.],0.8000000084413996,0.8000000084413996,0.7635000080562607,0.42493264620479715,0.0,0.7635000080562607,0.42493264620479715,0.0
25,2,0.30000000000000004,[0. 1.],[0. 1.],0.8000000086461589,0.8000000086461589,0.7635000082516782,0.4249326463135584,0.0,0.7635000082516782,0.4249326463135584,0.0
26,2,0.4,[0. 1.],[0. 1.],0.8000000089375268,0.8000000089375268,0.7635000085297518,0.42493264646832285,0.0,0.7635000085297518,0.42493264646832285,0.0
27,2,0.5,[0. 1.],[0. 1.],0.7999999999999038,0.7999999999999038,0.7634999999999079,0.42493264172096334,0.0,0.7634999999999079,0.42493264172096334,0.0
28,2,0.6000000000000001,[0. 1.],[0. 1.],0.7999999960775577,0.7999999960775577,0.7634999962565192,0.4249326396375472,0.0,0.7634999962565192,0.4249326396375472,0.0
29,2,0.7000000000000001,[0. 1.],[0. 1.],0.7999999999999965,0.7999999999999965,0.763499999999997,0.42493264172101247,0.0,0.763499999999997,0.42493264172101247,0.0
30,2,0.8,[0. 1.],[0. 1.],0.7999999998659939,0.7999999998659939,0.7634999998721079,0.4249326416498349,0.0,0.7634999998721079,0.4249326416498349,0.0
31,2,0.9,[0.84 0.16],[0.84 0.16],2.1172881239970307,2.1172881239970316,1.9359360776464765,1.1547788236935066,0.02556901912612239,1.9359360776464776,1.154778823693507,0.02556901912612239
32,2,1.0,[0. 1.],[0. 1.],0.7999999999999999,0.7999999999999999,0.7635,0.42493264172101436,0.0,0.7635,0.42493264172101436,0.0
33,3,0.0,[0. 1.],[0. 1.],0.9999999430112164,0.9999999430112164,0.7634999564890637,0.42493261750462,0.0,0.7634999564890637,0.42493261750462,0.0
34,3,0.1,[0. 1.],[0. 1.],0.9999999651789485,0.9999999651789485,0.7634999734141272,0.42493262692441297,0.0,0.7634999734141272,0.42493262692441297,0.0
35,3,0.2,[0. 1.],[0. 1.],0.999999963324295,0.999999963324295,0.7634999719980993,0.4249326261363102,0.0,0.7634999719980993,0.4249326261363102,0.0
36,3,0.30000000000000004,[0. 1.],[0. 1.],1.0,1.0,0.7635,0.42493264172101447,0.0,0.7635,0.42493264172101447,0.0
37,3,0.4,[0. 1.],[0. 1.],0.9999999577013641,0.9999999577013641,0.7634999677049916,0.42493262374694324,0.0,0.7634999677049916,0.42493262374694324,0.0
38,3,0.5,[0. 1.],[0. 1.],1.0000000033245509,1.0000000033245509,0.7635000025382948,0.42493264313372453,0.0,0.7635000025382948,0.42493264313372453,0.0
39,3,0.6000000000000001,[0. 1.],[0. 1.],1.0,1.0,0.7635,0.42493264172101447,0.0,0.7635,0.42493264172101447,0.0
40,3,0.7000000000000001,[0. 1.],[0. 1.],1.0,1.0,0.7635,0.42493264172101447,0.0,0.7635,0.42493264172101447,0.0
41,3,0.8,[0. 1.],[0. 1.],1.0000000000000053,1.0000000000000053,0.763500000000004,0.42493264172101664,0.0,0.763500000000004,0.42493264172101664,0.0
42,3,0.9,[0. 1.],[0. 1.],1.0000000373435591,1.0000000373435591,0.7635000285118074,0.4249326575895116,0.0,0.7635000285118074,0.4249326575895116,0.0
43,3,1.0,[0. 1.],[0. 1.],1.0000000256305095,1.0000000256305095,0.7635000195688939,0.4249326526122546,0.0,0.7635000195688939,0.4249326526122546,0.0
44,4,0.0,[0. 1.],[0. 1.],0.8000000043211121,0.8000000043211121,0.7635000041239611,0.4249326440162413,0.0,0.7635000041239611,0.4249326440162413,0.0
45,4,0.1,[0. 1.],[0. 1.],0.8000000018817622,0.8000000018817622,0.7635000017959066,0.4249326427205421,0.0,0.7635000017959066,0.4249326427205421,0.0
46,4,0.2,[0. 1.],[0. 1.],0.8000000019080801,0.8000000019080801,0.763500001821024,0.4249326427345213,0.0,0.763500001821024,0.4249326427345213,0.0
47,4,0.30000000000000004,[0. 1.],[0. 1.],0.8000000019596886,0.8000000019596886,0.7635000018702777,0.4249326427619339,0.0,0.7635000018702777,0.4249326427619339,0.0
48,4,0.4,[0. 1.],[0. 1.],0.8000000020358968,0.8000000020358968,0.763500001943009,0.4249326428024132,0.0,0.763500001943009,0.4249326428024132,0.0
49,4,0.5,[0. 1.],[0. 1.],0.8000000021360066,0.8000000021360066,0.7635000020385513,0.424932642855588,0.0,0.7635000020385513,0.424932642855588,0.0
50,4,0.6000000000000001,[0. 1.],[0. 1.],0.8000000022592881,0.8000000022592881,0.7635000021562082,0.42493264292107097,0.0,0.7635000021562082,0.42493264292107097,0.0
51,4,0.7000000000000001,[0. 1.],[0. 1.],0.8000000024049537,0.8000000024049537,0.763500002295228,0.42493264299844363,0.0,0.763500002295228,0.42493264299844363,0.0
52,4,0.8,[0. 1.],[0. 1.],0.8000000025721382,0.8000000025721382,0.7635000024547842,0.4249326430872463,0.0,0.7635000024547842,0.4249326430872463,0.0
53,4,0.9,[0. 1.],[0. 1.],0.800000002759877,0.800000002759877,0.7635000026339578,0.42493264318696683,0.0,0.7635000026339578,0.42493264318696683,0.0
54,4,1.0,[0. 1.],[0. 1.],0.8000000029670897,0.8000000029670897,0.7635000028317165,0.424932643297031,0.0,0.7635000028317165,0.424932643297031,0.0
55,5,0.0,[0. 1.],[0. 1.],0.7999999954506269,0.7999999954506269,0.7634999956581918,0.42493263930454295,0.0,0.7634999956581918,0.42493263930454295,0.0
