seed,risk,n,K,kappa,epsilon,gamma,alpha,status,success,elapsed_s,time_cap_s,profiles_checked,lp_solves,profiles_per_s,seconds_per_profile,total_profiles,full_grid_years_at_observed_rate,eta,warnings,strategies
0,msd,50,500,8,0.01,0.5,,time_cap,False,30.01098183169961,30.0,2099,2099,69.94106396688747,0.014297752182801148,2730463682711675625,1237086884.9199598,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
0,cvar,50,500,8,0.01,0.5,0.5,time_cap,False,30.01744025014341,30.0,1397,1397,46.53961125127336,0.02148707247683852,2730463682711675625,1859129688.1195397,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
1,cvar,50,500,8,0.01,0.5,0.5,time_cap,False,30.02128645963967,30.0,1394,1394,46.4337196833347,0.02153607350045887,2730463682711675625,1863369412.1610088,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
1,msd,50,500,8,0.01,0.5,,time_cap,False,30.00600858218968,30.0,2298,2298,76.58466115896526,0.013057444987898032,2730463682711675625,1129771570.983255,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
2,msd,50,500,8,0.01,0.5,,time_cap,False,30.01316716708243,30.0,1919,1919,63.93860365742085,0.01564000373480064,2730463682711675625,1353222748.0970705,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
2,cvar,50,500,8,0.01,0.5,0.5,time_cap,False,30.011461708694696,30.0,1297,1297,43.21682204583334,0.023139137786194832,2730463682711675625,2002071620.606967,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
3,cvar,50,500,8,0.01,0.5,0.5,time_cap,False,30.00035341642797,30.0,1445,1445,48.16609924364187,0.02076149025358337,2730463682711675625,1796350011.9268198,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
3,msd,50,500,8,0.01,0.5,,time_cap,False,30.01073175109923,30.0,2130,2130,70.97461060482081,0.014089545423051282,2730463682711675625,1219072175.4365995,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
4,msd,50,500,8,0.01,0.5,,time_cap,False,30.001506958156824,30.0,1981,1981,66.03001651760046,0.015144627439756093,2730463682711675625,1310361219.2452123,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
4,cvar,50,500,8,0.01,0.5,0.5,time_cap,False,30.003643166273832,30.0,1394,1394,46.46102449208409,0.0215234169055049,2730463682711675625,1862274323.4068382,,"[""divide by zero encountered in matmul"", ""invalid value encountered in matmul"", ""overflow encountered in matmul""]",
