risk,K,n,rep,seed,method,status,success,censored,time_limit_s,time_s,observed_time_s,source,exit_code,status_message,gamma,alpha,epsilon,epsilon_scr,support_kappa,support_tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,stochastic_entropy_kappa,stochastic_smoothing_tau,stochastic_step_size,stochastic_step_decay,stochastic_logit_bound,stochastic_gradient_clip_norm,stochastic_record_every,stochastic_certify_every,stochastic_regret_tolerance,eta,regret1,regret2,has_profile,error,solver,candidate_index,support_eta,screen_eta,best_screen_eta,best_screen_success,best_screen_violation,best_screen_candidate_index,best_screen_message,support_violation,residual_norm,objective,iterations,best_certificate_eta,best_certificate_iteration,profiles_checked,total_profiles,best_response_solves,sampling_seed,termination_reason,uncapped_success,uncapped_eta
msd,5,5,0,50623,qptas,completed,True,False,86400,0.2899140320000697,0.2899140320000697,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.007559229287859792,0.0,0.007559229287859792,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,157,1225,165,50623,epsilon_reached,,
msd,5,5,1,50624,qptas,completed,True,False,86400,1.1870555819999709,1.1870555819999709,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0033916740873846107,0.0033916740873846107,0.002601463918294744,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,701,1225,735,50624,epsilon_reached,,
msd,5,5,2,50625,qptas,completed,True,False,86400,0.7002835980000555,0.7002835980000555,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.004998626563026187,0.0,0.004998626563026187,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,421,1225,438,50625,epsilon_reached,,
msd,5,5,3,50626,qptas,completed,True,False,86400,0.033893664999936846,0.033893664999936846,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.008044812373980581,0.008044812373980581,0.007373362260918226,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,16,1225,17,50626,epsilon_reached,,
msd,5,5,4,50627,qptas,completed,True,False,86400,0.13810013300007995,0.13810013300007995,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.004127150964481352,0.004127150964481352,0.003763039541540336,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,81,1225,86,50627,epsilon_reached,,
msd,5,5,5,50628,qptas,completed,True,False,86400,1.0494569500000352,1.0494569500000352,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.009235351218681909,0.008328893982365582,0.009235351218681909,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,633,1225,668,50628,epsilon_reached,,
msd,5,5,6,50629,qptas,completed,False,False,86400,1.7052748239999573,1.7052748239999573,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,nan,nan,nan,False,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,1000,1225,1041,50629,sample_exhausted,,
msd,5,5,7,50630,qptas,completed,True,False,86400,0.07307716700006495,0.07307716700006495,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0068282182957771775,0.0068282182957771775,0.0008443939664768418,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,42,1225,44,50630,epsilon_reached,,
msd,5,5,8,50631,qptas,completed,True,False,86400,0.7698004999999739,0.7698004999999739,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.007415850852651618,0.007415850852651618,0.0024033510173052663,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,448,1225,476,50631,epsilon_reached,,
msd,5,5,9,50632,qptas,completed,True,False,86400,0.04361299400000007,0.04361299400000007,capped_run,,,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0035340083070771744,0.0004917466305885965,0.0035340083070771744,True,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,20,1225,22,50632,epsilon_reached,,
