risk,K,n,rep,seed,method,status,success,censored,time_limit_s,time_s,observed_time_s,source,exit_code,status_message,gamma,alpha,epsilon,epsilon_scr,support_kappa,support_tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,stochastic_entropy_kappa,stochastic_smoothing_tau,stochastic_step_size,stochastic_step_decay,stochastic_logit_bound,stochastic_gradient_clip_norm,stochastic_record_every,stochastic_certify_every,stochastic_regret_tolerance,eta,regret1,regret2,has_profile,error,solver,candidate_index,support_eta,screen_eta,best_screen_eta,best_screen_success,best_screen_violation,best_screen_candidate_index,best_screen_message,support_violation,residual_norm,objective,iterations,best_certificate_eta,best_certificate_iteration,uncapped_success,uncapped_eta
cvar,5,5,0,1050623,mcp,completed,True,False,86400,0.06649630799984152,0.06649630799984152,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,1.1102230246251565e-16,0.0,1.1102230246251565e-16,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,0,1050623,screened_dual,completed,True,False,86400,9.587667550000333,9.587667550000333,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,,1,0.0,-0.03193510179621453,,,,,,5.218048215738236e-15,nan,nan,,nan,,,
cvar,5,5,0,1050623,action_dual,completed,True,False,86400,0.14900833599995167,0.14900833599995167,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.004123425747867282,0.00412342574786273,0.004123425747867282,True,,,1,0.004123425747867282,nan,,,,,,2.7755575615628914e-15,nan,nan,,nan,,,
cvar,5,5,0,1050623,restricted_mcp,completed,True,False,86400,0.2015953680001985,0.2015953680001985,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.007854129229618423,0.007854129229618423,0.0075180581083708065,True,,pathampl,5,0.007854129229618423,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,0,1050623,stochastic_full_batch,completed,False,False,86400,265.8198418000002,265.8198418000002,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.05270025576584603,0.03695152210774311,0.05270025576584603,True,,,,nan,nan,,,,,,nan,0.5176361340895659,0.1339735836575955,1000,0.05270025576584603,1000,,
cvar,5,5,0,1050623,stochastic_minibatch,completed,False,False,86400,260.988293848,260.988293848,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.040189507948074965,0.03761172597817969,0.040189507948074965,True,,,,nan,nan,,,,,,nan,0.719628789196387,0.25893279712012895,1000,0.040189507948074965,1000,,
cvar,5,5,1,1050624,mcp,completed,True,False,86400,0.05642882800020743,0.05642882800020743,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,5.551115123125783e-17,5.551115123125783e-17,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,1,1050624,screened_dual,completed,True,False,86400,20.107225667999955,20.107225667999955,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.007800978694221916,0.007800978694221805,0.007800978694221916,True,,,5,0.007800978694221916,-0.04362965056676812,,,,,,1.4099832412739488e-14,nan,nan,,nan,,,
cvar,5,5,1,1050624,action_dual,completed,True,False,86400,23.989537542000107,23.989537542000107,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,4.106365247835697e-11,4.106365247835697e-11,1.8074430840897548e-13,True,,,11,4.106365247835697e-11,nan,,,,,,8.084788394313591e-11,nan,nan,,nan,,,
cvar,5,5,1,1050624,restricted_mcp,completed,True,False,86400,0.45399382599998717,0.45399382599998717,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,6.027844889899825e-12,6.027844889899825e-12,0.0,True,,pathampl,11,6.027844889899825e-12,nan,,,,,,nan,nan,nan,,nan,,,
