K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,small_screen_eta,small_support_eta,small_has_profile,mcp_time_s,mcp_success,mcp_eta
5,5,50623,0.5,0.01,3,5,16.242573665920645,True,0.0,-0.17712224513614866,0.0,True,0.05328937526792288,True,0.0
5,5,50624,0.5,0.01,3,5,22.64350187499076,True,3.578555505256986e-07,-0.06814526983255982,3.578555505256986e-07,True,0.08174654189497232,True,1.1102230246251565e-16
5,5,50625,0.5,0.01,3,5,63.64325091615319,True,0.0038775304439176983,-0.15771698865352865,0.0038775304439176983,True,0.08833225024864078,True,5.551115123125783e-17
5,5,50626,0.5,0.01,3,5,9.50844275020063,True,0.0,-0.08751219912364426,0.0,True,0.07756854081526399,True,0.0
5,5,50627,0.5,0.01,3,5,18.277515042107552,True,0.008352888189052277,-0.12004055440476596,0.008352888189052277,True,0.0632055844180286,True,1.1102230246251565e-16
5,5,50628,0.5,0.01,3,5,53.648177875205874,True,0.0054344135623839995,-0.06377582565524932,0.0054344135623839995,True,0.0683053326793015,True,1.1102230246251565e-16
5,5,50629,0.5,0.01,3,5,34.8868444156833,True,0.0,-0.15468076197372807,0.0,True,0.05593162542209029,True,0.0
5,5,50630,0.5,0.01,3,5,11.567560708150268,True,1.0575984532579241e-12,-0.3934272408667332,1.0575984532579241e-12,True,0.05893395887687802,True,0.0
5,5,50631,0.5,0.01,3,5,12.080303292255849,True,0.0021220129103249885,-0.19502812429008737,0.0021220129103249885,True,0.07422229088842869,True,0.0
5,5,50632,0.5,0.01,3,5,47.40065329102799,True,3.607614207368215e-11,-0.06910763778505018,3.607614207368215e-11,True,0.05799716617912054,True,0.0
5,5,50633,0.5,0.01,3,5,79.1280233329162,True,0.009224153178761296,-0.17693483935856763,0.009224153178761296,True,0.055952874943614006,True,1.1102230246251565e-16
5,5,50634,0.5,0.01,3,5,5.431198541074991,True,0.0,-0.08258926078455124,0.0,True,0.05981825012713671,True,4.218847493575595e-15
5,5,50635,0.5,0.01,3,5,38.48086408386007,True,0.00034299997763687085,-0.06085254570748849,0.00034299997763687085,True,0.06583929108455777,True,1.887379141862766e-15
5,5,50636,0.5,0.01,3,5,39.64917391585186,True,0.0019158156967024054,-0.060849292059049334,0.0019158156967024054,True,0.07490654196590185,True,0.0
5,5,50637,0.5,0.01,3,5,40.7695400826633,True,0.0,-0.12370816084523738,0.0,True,0.0559519580565393,True,0.0
5,5,50638,0.5,0.01,3,5,82.21768158301711,True,0.00596834500453991,-0.0348299999129129,0.00596834500453991,True,0.03806387493386865,True,0.0
5,5,50639,0.5,0.01,3,5,25.56539150001481,True,0.004610875252971214,-0.263259651660379,0.004610875252971214,True,0.054378666914999485,True,1.1102230246251565e-16
5,5,50640,0.5,0.01,3,5,29.018334874883294,True,2.1920930348695578e-07,-0.08277814538849414,2.1920930348695578e-07,True,0.050216457806527615,True,0.0
5,5,50641,0.5,0.01,3,5,21.635666041169316,True,1.1102230246251565e-16,-0.13441730898841894,1.1102230246251565e-16,True,0.051190707832574844,True,1.1102230246251565e-16
5,5,50642,0.5,0.01,3,5,53.80014379089698,True,0.000714613430912503,-0.08659078631033484,0.000714613430912503,True,0.0390132088214159,True,1.1102230246251565e-16
5,10,51123,0.5,0.01,4,5,40.63981170859188,True,3.03101987952914e-12,-0.11042878154350876,3.03101987952914e-12,True,0.10659737465903163,False,
5,10,51124,0.5,0.01,4,5,26.075642958283424,True,0.007011833438924087,-0.10482567355290855,0.007011833438924087,True,0.08601587498560548,True,1.731059739995544e-12
5,10,51125,0.5,0.01,4,5,32.67235766723752,True,0.0,-0.05239599550346804,0.0,True,0.05584787484258413,True,8.436584764126565e-13
5,10,51126,0.5,0.01,4,5,24.2722107921727,True,7.872924534524373e-12,-0.17077402024461094,7.872924534524373e-12,True,0.0633345409296453,True,0.0
5,10,51127,0.5,0.01,4,5,177.5337082920596,True,0.006221887571826068,-0.032325491379466186,0.006221887571826068,True,0.08613049983978271,True,1.8207657603852567e-13
5,10,51128,0.5,0.01,4,5,77.93672845792025,True,0.0041006366257367866,-0.050515331267858316,0.0041006366257367866,True,0.08014654088765383,True,1.1102230246251565e-16
5,10,51129,0.5,0.01,4,5,156.87690879125148,True,0.007744613844340775,-0.04904407028899899,0.007744613844340775,True,0.08777241595089436,True,0.0
5,10,51130,0.5,0.01,4,5,169.44009074987844,True,0.008223197955722683,-0.09962700835813347,0.008223197955722683,True,0.082288458943367,True,0.0
5,10,51131,0.5,0.01,4,5,59.37816820805892,True,0.0009731748576913279,-0.09497864110704803,0.0009731748576913279,True,0.0891756247729063,True,0.0
5,10,51132,0.5,0.01,4,5,48.62015675008297,True,0.007386731320865314,-0.05906296433310399,0.007386731320865314,True,0.07211950002238154,True,1.1102230246251565e-16
5,10,51133,0.5,0.01,4,5,127.08428262500092,True,0.0,-0.1431632553520929,0.0,True,0.08136270893737674,True,0.0
5,10,51134,0.5,0.01,4,5,35.342703291680664,True,0.0,-0.048615211258813726,0.0,True,0.08962300000712276,True,0.0
5,10,51135,0.5,0.01,4,5,6.048845749814063,True,0.0,-0.13105503595702256,0.0,True,0.07608962478116155,True,0.0
5,10,51136,0.5,0.01,4,5,24.031032583210617,True,5.220935754102207e-05,-0.0574851311291333,5.220935754102207e-05,True,0.085314666852355,True,0.0
5,10,51137,0.5,0.01,4,5,114.422260875348,True,1.2352252554137522e-10,-0.07756127892489406,1.2352252554137522e-10,True,0.09183758264407516,True,0.0
5,10,51138,0.5,0.01,4,5,141.84858533274382,True,0.0,-0.11777655277537767,0.0,True,0.08882650034502149,True,0.0
5,10,51139,0.5,0.01,4,5,357.82418683404103,True,0.008127942351537354,-0.037941834395311215,0.008127942351537354,True,0.18124937498942018,False,
5,10,51140,0.5,0.01,4,5,88.45434520905837,True,0.008589434069283253,-0.02498840343681202,0.008589434069283253,True,0.08056254079565406,True,1.4481627008677833e-10
5,10,51141,0.5,0.01,4,5,153.24206258310005,True,0.009638141358377705,-0.02288308560655855,0.009638141358377705,True,0.09972700010985136,True,0.0
5,10,51142,0.5,0.01,4,5,196.91283841663972,True,0.0,-0.17425247204486288,0.0,True,0.09375816723331809,True,0.0
5,20,52123,0.5,0.01,5,5,177.59184549981728,True,0.0006031992688300125,-0.10227990291762636,0.0006031992688300125,True,0.1788037079386413,True,0.0
5,20,52124,0.5,0.01,5,5,298.2371130422689,True,0.009483710373481613,-0.021545588574297392,0.009483710373481613,True,0.3395863748155534,False,
5,20,52125,0.5,0.01,5,5,290.3337748753838,True,0.0,-0.1289830266325373,0.0,True,0.3132542921230197,False,
5,20,52126,0.5,0.01,5,5,258.32069024955854,True,0.000921261275635632,-0.11694012946078261,0.000921261275635632,True,0.14021495776250958,True,8.881784197001252e-16
5,20,52127,0.5,0.01,5,5,171.8348934999667,True,0.007710841412125302,-0.028992610733863597,0.007710841412125302,True,0.35861991671845317,False,
5,20,52128,0.5,0.01,5,5,150.5096012908034,True,0.00253555086536017,-0.038461497927737114,0.00253555086536017,True,0.23299387516453862,True,1.1102230246251565e-16
5,20,52129,0.5,0.01,5,5,208.98099149996415,True,0.00847813667028463,-0.027445772747817402,0.00847813667028463,True,0.21174708381295204,True,2.15455431273881e-11
5,20,52130,0.5,0.01,5,5,30.039395166095346,True,0.0010852186741491243,-0.0903499761108715,0.0010852186741491243,True,0.16271300008520484,True,0.0
5,20,52131,0.5,0.01,5,5,99.83140787482262,True,0.009942616580815966,-0.08259596668295409,0.009942616580815966,True,0.2529345420189202,True,0.0
5,20,52132,0.5,0.01,5,5,398.75873350026086,True,0.006153484571717827,-0.10522751577434573,0.006153484571717827,True,0.2777676247060299,True,3.3306690738754696e-16
5,20,52133,0.5,0.01,5,5,930.7670442918316,True,0.006982577842920223,-0.11958963532620524,0.006982577842920223,True,0.2990497089922428,True,0.0
5,20,52134,0.5,0.01,5,5,24.746826875023544,True,0.0012864149339918418,-0.06916234379803463,0.0012864149339918418,True,0.3085195831954479,True,4.645173135031655e-13
5,20,52135,0.5,0.01,5,5,1182.8002136657014,True,0.007382564824388815,-0.07892460618949523,0.007382564824388815,True,0.28400266682729125,True,0.0
5,20,52136,0.5,0.01,5,5,31.586831541731954,True,0.00041546823163340907,-0.0319517940986524,0.00041546823163340907,True,0.19174745818600059,True,2.4009683130543635e-12
5,20,52137,0.5,0.01,5,5,147.74816475016996,True,0.006007294593907364,-0.05286637772662676,0.006007294593907364,True,0.3757698340341449,True,1.0769163338864018e-14
5,20,52138,0.5,0.01,5,5,142.16789254173636,True,0.004549877524719692,-0.10551208745386044,0.004549877524719692,True,0.21648695785552263,True,0.0
5,20,52139,0.5,0.01,5,5,169.33963083289564,True,0.009010913026489709,-0.04980360773133798,0.009010913026489709,True,0.21424570912495255,True,0.0
5,20,52140,0.5,0.01,5,5,271.47557541681454,True,0.0014987939288519936,-0.13864309170211914,0.0014987939288519936,True,0.24016749998554587,True,1.1102230246251565e-16
5,20,52141,0.5,0.01,5,5,607.5535674579442,True,0.006556722676781979,-0.034372850496227736,0.006556722676781979,True,0.3319130833260715,True,1.5620060800358715e-11
5,20,52142,0.5,0.01,5,5,87.46505137486383,True,0.003610262248674112,-0.09767632835185462,0.003610262248674112,True,0.26154120825231075,True,0.0
5,50,55123,0.5,0.01,8,5,4253.352103041951,True,0.00482653701325253,-0.030288380210484727,0.00482653701325253,True,0.5685795829631388,True,0.0
5,50,55124,0.5,0.01,8,5,2172.1848765839823,True,0.006446340443421961,-0.10808547697364555,0.006446340443421961,True,1.976549165789038,False,
5,50,55125,0.5,0.01,8,5,253.68097629211843,True,0.009972522507086579,-0.030976402241032295,0.009972522507086579,True,1.1098832502029836,True,0.0
5,50,55126,0.5,0.01,8,5,1379.8105121660046,True,0.009164610798278017,-0.10296875092534966,0.009164610798278017,True,2.158343375194818,False,
5,50,55127,0.5,0.01,8,5,460.5474111670628,True,0.0035994223439742568,-0.033107387469900246,0.0035994223439742568,True,1.084086500108242,True,0.0
5,50,55128,0.5,0.01,8,5,921.8331279163249,True,0.0,-0.062051387870783285,0.0,True,1.9401734583079815,True,0.0
5,50,55129,0.5,0.01,8,5,2677.6465151668526,True,0.006383347901277481,-0.01794270128192895,0.006383347901277481,True,0.7911740001291037,True,1.1102230246251565e-16
5,50,55130,0.5,0.01,8,5,1753.6892805830576,True,0.003629774260587526,-0.029047721643021225,0.003629774260587526,True,1.8740723747760057,False,
5,50,55131,0.5,0.01,8,5,753.2732279580086,True,0.001250797692681993,-0.009767333638552537,0.001250797692681993,True,1.153275374788791,True,1.1102230246251565e-16
5,50,55132,0.5,0.01,8,5,250.5443583750166,True,0.00633006311818729,-0.019848894806822337,0.00633006311818729,True,1.0856199581176043,True,1.1102230246251565e-16
5,50,55133,0.5,0.01,8,5,892.7815945828333,True,0.009955936902903528,0.0010667676731376423,0.009955936902903528,True,1.763382709119469,False,
