K,n,seed,gamma,alpha,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,5,50623,0.5,0.05,0.01,3,5,2.00001522898674e-06,False,,7.909256964921951e-07,False,
5,5,50624,0.5,0.05,0.01,3,5,9.580980986356735e-07,False,,4.5797787606716156e-07,False,
5,5,50625,0.5,0.05,0.01,3,5,6.670597940683365e-07,False,,8.125090971589088e-06,False,
5,5,50626,0.5,0.05,0.01,3,5,4.169996827840805e-07,False,,2.919696271419525e-07,False,
5,5,50627,0.5,0.05,0.01,3,5,4.998873919248581e-07,False,,3.3294782042503357e-07,False,
5,5,50628,0.5,0.05,0.01,3,5,4.1606836020946503e-07,False,,3.3294782042503357e-07,False,
5,5,50629,0.5,0.05,0.01,3,5,4.169996827840805e-07,False,,2.50060111284256e-07,False,
5,5,50630,0.5,0.05,0.01,3,5,3.3294782042503357e-07,False,,9.041046723723412e-06,False,
5,5,50631,0.5,0.05,0.01,3,5,3.341119736433029e-07,False,,2.9103830456733704e-07,False,
5,5,50632,0.5,0.05,0.01,3,5,3.341119736433029e-07,False,,3.748573362827301e-07,False,
5,5,50633,0.5,0.05,0.01,3,5,4.1606836020946503e-07,False,,2.0884908735752106e-07,False,
5,5,50634,0.5,0.05,0.01,3,5,4.169996827840805e-07,False,,3.3294782042503357e-07,False,
5,5,50635,0.5,0.05,0.01,3,5,3.748573362827301e-07,False,,2.498272806406021e-07,False,
5,5,50636,0.5,0.05,0.01,3,5,1.7909333109855652e-06,False,,5.841720849275589e-07,False,
5,5,50637,0.5,0.05,0.01,3,5,7.909256964921951e-07,False,,6.500165909528732e-06,False,
5,5,50638,0.5,0.05,0.01,3,5,2.2079329937696457e-06,False,,9.159557521343231e-07,False,
5,5,50639,0.5,0.05,0.01,3,5,1.2081582099199295e-06,False,,8.749775588512421e-07,False,
5,5,50640,0.5,0.05,0.01,3,5,4.169996827840805e-07,False,,2.9103830456733704e-07,False,
5,5,50641,0.5,0.05,0.01,3,5,4.169996827840805e-07,False,,2.919696271419525e-07,False,
5,5,50642,0.5,0.05,0.01,3,5,3.748573362827301e-07,False,,2.919696271419525e-07,False,
10,5,100623,0.5,0.05,0.01,3,5,3.541121259331703e-06,False,,1.3329554349184036e-06,False,
10,5,100624,0.5,0.05,0.01,3,5,8.33999365568161e-07,False,,4.1606836020946503e-07,False,
10,5,100625,0.5,0.05,0.01,3,5,3.6249402910470963e-06,False,,1.1248048394918442e-06,False,
10,5,100626,0.5,0.05,0.01,3,5,2.583954483270645e-06,False,,1.0409858077764511e-06,False,
10,5,100627,0.5,0.05,0.01,3,5,1.541106030344963e-06,False,,9.171199053525925e-07,False,
10,5,100628,0.5,0.05,0.01,3,5,3.00002284348011e-06,False,,1.0419171303510666e-06,False,
10,5,100629,0.5,0.05,0.01,3,5,2.749962732195854e-06,False,,7.909256964921951e-07,False,
10,5,100630,0.5,0.05,0.01,3,5,9.168870747089386e-07,False,,4.998873919248581e-07,False,
10,5,100631,0.5,0.05,0.01,3,5,1.3083918020129204e-05,False,,1.2919772416353226e-06,False,
10,5,100632,0.5,0.05,0.01,3,5,2.0419247448444366e-06,False,,7.501803338527679e-07,False,
10,5,100633,0.5,0.05,0.01,3,5,7.333001121878624e-06,False,,1.4579854905605316e-06,False,
10,5,100634,0.5,0.05,0.01,3,5,3.833090886473656e-06,False,,1.416075974702835e-06,False,
10,5,100635,0.5,0.05,0.01,3,5,2.2498425096273422e-06,False,,8.328352123498917e-07,False,
10,5,100636,0.5,0.05,0.01,3,5,2.3748725652694702e-06,False,,5.830079317092896e-07,False,
10,5,100637,0.5,0.05,0.01,3,5,3.00002284348011e-06,False,,1.1669471859931946e-06,False,
10,5,100638,0.5,0.05,0.01,3,5,1.2079253792762756e-06,False,,8.749775588512421e-07,False,
10,5,100639,0.5,0.05,0.01,3,5,1.0831281542778015e-06,False,,1.3748649507761002e-06,False,
10,5,100640,0.5,0.05,0.01,3,5,7.499475032091141e-07,False,,3.7509016692638397e-07,False,
10,5,100641,0.5,0.05,0.01,3,5,1.250067725777626e-06,False,,6.249174475669861e-07,False,
10,5,100642,0.5,0.05,0.01,3,5,6.249174475669861e-07,False,,4.169996827840805e-07,False,
