risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.024461749089741386,0.00029918858426473174,0.0030350506921747455,0.002437488847483238,0.0030350506921747455,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.0012285134136364596,7.546226037423534e-07,0.002820966003572456,0.0022962277048336754,0.002820966003572456,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.0003366412676341202,5.6663671537153674e-08,0.0028137701380237523,0.0022914002078099904,0.0028137701380237523,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.0001256257463287819,7.89091407033173e-09,0.0028121615378071674,0.0022903218774145695,0.0028121615378071674,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,5.5003184470561814e-05,1.512675150951326e-09,0.0028116488260605532,0.002289979058062719,0.0028116488260605532,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,2.6669263525462175e-05,3.556248084952736e-10,0.002811452140240811,0.0022898482142409415,0.002811452140240811,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,1.3902079492502541e-05,9.663390710792986e-11,0.002811367179248181,0.0022897920247061387,0.002811367179248181,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,7.655042225168112e-06,2.929983573455338e-11,0.0028113272516574472,0.002289765791272158,0.0028113272516574472,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,4.401809452062313e-06,9.68796322613256e-12,0.002811307251670947,0.00228975274573634,0.002811307251670947,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,2.6222175161820986e-06,3.4380123510861075e-12,0.002811296715555134,0.002289745927461284,0.002811296715555134,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,1.6089371806207938e-06,1.2943394255919943e-12,0.0028112909320628376,0.0022897422167160175,0.0028112909320628376,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,1.0123698966557722e-06,5.124464038274094e-13,0.002811287646407812,0.002289740127968176,0.002811287646407812,nan,nan
