risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,250,20,3502123,0.5,0.5,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,0,0,False,nan,nan,max_iter,,0.027069322486470197,0.0003663741099382605,0.0032134238789102154,0.001647539190732239,0.0032134238789102154,0.4989788236249419,0.49856093068264457
cvar,250,20,3502123,0.5,0.5,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,100,100,False,nan,nan,max_iter,,0.7071078825453423,0.2500007787788788,0.002861278740105888,0.001616663013285724,0.002861278740105888,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,200,200,False,nan,nan,max_iter,,0.7071068229664673,0.2500000295428655,0.0028514417427630834,0.0016169130989493463,0.0028514417427630834,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,300,300,False,nan,nan,max_iter,,0.7071067846704742,0.2500000024635082,0.002849871922029845,0.0016169030357590097,0.002849871922029845,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,400,400,False,nan,nan,max_iter,,0.7071067816229206,0.2500000003085624,0.0028494869145400115,0.0016168893750813096,0.0028494869145400115,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,500,500,False,nan,nan,max_iter,,0.7071067812573857,0.25000000005009015,0.0028493686928691697,0.0016168818670801444,0.0028493686928691697,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,0,500,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7075019444876917,0.2502795007269324,0.0028493686928692807,0.0016168818670801999,0.0028493686928692807,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,100,600,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.707319998379906,0.2501507900540751,0.002608762202253978,0.0016054876307317056,0.002608762202253978,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,200,700,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7072693805605572,0.25011498833925716,0.0025302987012476574,0.0016005841372191965,0.0025302987012476574,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,300,800,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7072389530223986,0.25009346833610924,0.0024775546369458223,0.0015982957037570245,0.0024775546369458223,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,400,900,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7072178263228605,0.2500785269344158,0.002437758520243305,0.001597358354648526,0.002437758520243305,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,500,1000,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7072020652017722,0.25006738051282584,0.002407642653586506,0.0015966792815544917,0.002407642653586506,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,600,1100,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7071897751002992,0.2500586890032059,0.0023831556661675912,0.0015964834622397284,0.0023831556661675912,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,700,1200,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7071798955970316,0.2500517023683143,0.002362265941878605,0.001596285785114504,0.002362265941878605,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,800,1300,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7071717739264933,0.2500459589191717,0.0023446211207501233,0.0015959608926738311,0.0023446211207501233,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,900,1400,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7071649807962896,0.25004115503230834,0.0023291292656522633,0.0015954371514800836,0.0023291292656522633,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,1000,1500,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.707159219740452,0.2500370810319625,0.002315308383866843,0.0015949109536035344,0.002315308383866843,-22.566364074723577,1.3778089382889749
cvar,250,20,3502123,0.5,0.5,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,1100,1600,False,0.0005855968676198864,0.20551810970809117,max_iter,,0.7071542781542017,0.2500335865558951,0.002302837613818942,0.0015944070351628925,0.002302837613818942,-22.566364074723577,1.3778089382889749
