risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502125,0.5,nan,0.1,0.02,25.0,0.5,500,16,0.001,100,100,full_batch,0,0,0,False,nan,nan,max_iter,,0.024461749089741386,0.00029918858426473174,0.0030350506921747455,0.002437488847483238,0.0030350506921747455,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,25.0,0.5,500,16,0.001,100,100,full_batch,0,100,100,False,nan,nan,max_iter,,0.00015873395663723578,1.2598234494855924e-08,0.002812400067373211,0.0022904813431639526,0.002812400067373211,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,25.0,0.5,500,16,0.001,100,100,full_batch,0,200,200,False,nan,nan,max_iter,,1.8816079460320293e-05,1.770224231285436e-10,0.0028113983542643606,0.002289812496682475,0.0028113983542643606,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,25.0,0.5,500,16,0.001,100,100,full_batch,0,300,300,False,nan,nan,max_iter,,3.744811726386455e-06,7.011807433040751e-12,0.002811303085929695,0.0022897500127393444,0.002811303085929695,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,25.0,0.5,500,16,0.001,100,100,full_batch,0,400,400,False,nan,nan,max_iter,,9.73030403181993e-07,4.733940827582559e-13,0.002811287373584326,0.0022897399452324607,0.002811287373584326,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,25.0,0.5,500,16,0.001,100,100,full_batch,0,500,500,False,nan,nan,max_iter,,2.9948179525704324e-07,4.4844672845190786e-14,0.002811283919281926,0.002289737794314073,0.002811283919281926,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,0,500,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.016898633167402657,0.00014278190146322059,0.0028112839192817596,0.0022897377943141284,0.0028112839192817596,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,100,600,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.011144015917131224,6.209454538063703e-05,0.0026382615655135555,0.0021764404348681987,0.0026382615655135555,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,200,700,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.009282651782285944,4.3083812055588206e-05,0.0025827501697808786,0.0021412948676129417,0.0025827501697808786,nan,nan
msd,250,20,2502125,0.5,nan,0.03,0.01,20.0,0.5,1500,16,0.001,100,100,full_batch,1,300,800,False,0.00039935602213081456,0.14205467451783393,max_iter,,0.008074762200335919,3.260089229598689e-05,0.0025473546791391355,0.0021189890833656633,0.0025473546791391355,nan,nan
