K,n,seed,gamma,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,iteration,residual_norm,objective,eta,regret1,regret2
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,0,0.06893028566781044,0.0023756921411229766,0.014194061668509617,0.013391379516060287,0.014194061668509617
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,25,0.06891542398085208,0.002374667831230301,0.014193235885308575,0.013390438002528648,0.014193235885308575
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,50,0.06890835003846871,0.002374180352512065,0.01419284284322847,0.013389989844823813,0.01419284284322847
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,75,0.0689029065202759,0.00237380526347094,0.014192540398690057,0.013389644974887427,0.014192540398690057
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,100,0.06889831239316459,0.0023734887253130483,0.01419228515212928,0.013389353914077917,0.01419228515212928
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,125,0.06889426259330016,0.0023732097091372986,0.014192060152109665,0.013389097336527989,0.014192060152109665
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,150,0.06889060006498433,0.0023729573886568096,0.014191856671540493,0.01338886529272204,0.014191856671540493
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,175,0.06888723129839987,0.002372725317979621,0.014191669514377003,0.013388651858790901,0.014191669514377003
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,200,0.06888409527459669,0.002372509290899857,0.014191495289989253,0.01338845316917009,0.014191495289989253
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,225,0.06888114956366989,0.0023723063826063305,0.014191331640681981,0.013388266535915294,0.014191331640681981
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,250,0.06887836324737447,0.0023721144618186326,0.014191176848426301,0.013388090000348518,0.014191176848426301
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,275,0.0688757129699872,0.002371931918562031,0.01419102961541846,0.013387922082879145,0.01419102961541846
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,full_batch,300,0.06887318057708926,0.0023717575014021723,0.014190888932875456,0.013387761633420647,0.014190888932875456
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,0,0.06893028566781044,0.0023756921411229766,0.014194061668509617,0.013391379516060287,0.014194061668509617
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,25,0.0689152284299829,0.002374654354778362,0.014193174340952686,0.013390400110426082,0.014193174340952686
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,50,0.06890783795165725,0.002374145065585928,0.01419277225068083,0.013389893602689662,0.01419277225068083
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,75,0.06890233759270979,0.0023737660628698745,0.014192464495711488,0.01338952126826548,0.014192464495711488
30,20,302123,0.5,0.05,0.1,0.01,0.5,300,6,0.001,25,25,minibatch,100,0.06889758272076885,0.002373438452382593,0.01419219186105014,0.013389222406982204,0.01419219186105014
