K,n,seed,gamma,entropy_kappa,smoothing_tau,max_iter,minibatch_size,step_size,step_decay,regret_tolerance,record_every,certify_every,methods,full_batch_success,full_batch_time_s,full_batch_solve_time_s,full_batch_eta,full_batch_regret1,full_batch_regret2,full_batch_residual_norm,full_batch_objective,full_batch_iterations,full_batch_has_profile,full_batch_history_len,full_batch_best_residual_norm,full_batch_best_objective,full_batch_best_certificate_eta,full_batch_best_certificate_iteration,full_batch_error,minibatch_success,minibatch_time_s,minibatch_solve_time_s,minibatch_eta,minibatch_regret1,minibatch_regret2,minibatch_residual_norm,minibatch_objective,minibatch_iterations,minibatch_has_profile,minibatch_history_len,minibatch_best_residual_norm,minibatch_best_objective,minibatch_best_certificate_eta,minibatch_best_certificate_iteration,minibatch_error,eta_diff_minibatch_minus_full_batch,residual_diff_minibatch_minus_full_batch,time_ratio_minibatch_over_full_batch,x_l1_minibatch_minus_full_batch,y_l1_minibatch_minus_full_batch
30,20,302123,0.5,0.1,0.02,2000,6,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,63.46888575004414,62.832612958271056,0.01345458060377197,0.012422533042447892,0.01345458060377197,0.0294482805882389,0.00043360061480182395,2000,True,81,0.0294482805882389,0.00043360061480182395,0.01345458060377197,2000,,False,61.79905220866203,61.791133041959256,0.013464990750507388,0.012416156679987689,0.013464990750507388,0.02936294550910232,0.0004310912844852561,2000,True,81,0.02936294550910232,0.0004310912844852561,0.013464990750507388,2000,,1.0410146735417847e-05,-8.533507913657812e-05,0.9736905174614485,0.001170200696030542,0.0007513379913183169
30,20,302124,0.5,0.1,0.02,2000,6,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,58.162446207832545,58.1522390418686,0.011319421899578574,0.011319421899578574,0.009956105250853275,0.025193525671392637,0.00031735686787755994,2000,True,81,0.025193525671392637,0.00031735686787755994,0.011319421899578574,2000,,False,58.704764124937356,58.69691229099408,0.011321783773179439,0.011321783773179439,0.009959181376103354,0.025109160937025924,0.0003152349814807343,2000,True,81,0.025109160937025924,0.0003152349814807343,0.011321783773179439,2000,,2.3618736008645946e-06,-8.436473436671324e-05,1.0093241937446533,0.0007120751139964368,0.0008018890951378491
30,20,302125,0.5,0.1,0.02,2000,6,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,60.85761662526056,60.847739374730736,0.01941568068252153,0.011448497727828466,0.01941568068252153,0.029481132945871208,0.00043456859988606636,2000,True,81,0.029481132945871208,0.00043456859988606636,0.01941568068252153,2000,,False,57.39146670792252,57.38347766594961,0.01941451630315222,0.01144623519347937,0.01941451630315222,0.029483321146776768,0.00043463311292198705,2000,True,81,0.029483321146776768,0.00043463311292198705,0.01941451630315222,2000,,-1.1643793693116855e-06,2.1882009055597396e-06,0.9430449283171677,0.0006019145752299004,0.0006964421066440671
100,20,1002123,0.5,0.1,0.02,2000,10,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,60.7272319579497,60.7050183750689,0.008960411699269866,0.008960411699269866,0.0037554784418279974,0.016905610414568412,0.000142899831744582,2000,True,81,0.016905610414568412,0.000142899831744582,0.008960411699269866,2000,,False,58.38904641708359,58.37916491692886,0.008959861699384453,0.008959861699384453,0.0037549069261447743,0.016905032164828082,0.00014289005624693602,2000,True,81,0.016905032164828082,0.00014289005624693602,0.008959861699384453,2000,,-5.499998854130439e-07,-5.782497403301889e-07,0.9614969188372496,0.00045775740821918376,0.0005114755950407363
100,20,1002124,0.5,0.1,0.02,2000,10,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,60.885200375225395,60.87324400013313,0.004801152958096355,0.004801152958096355,0.0028455812084435816,0.012954392359276234,8.390814069903724e-05,2000,True,81,0.012954392359276234,8.390814069903724e-05,0.004801152958096355,2000,,False,58.27773933298886,58.268158125225455,0.004800749021194761,0.004800749021194761,0.002847605829640887,0.012947327985460997,8.381665098155077e-05,2000,True,81,0.012947327985460997,8.381665098155077e-05,0.004800749021194761,2000,,-4.039369015940153e-07,-7.06437381523678e-06,0.9571741404123303,0.0005018168896164521,0.000633560024421706
100,20,1002125,0.5,0.1,0.02,2000,10,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,60.83611891698092,60.82422762457281,0.005998257090637837,0.005998257090637837,0.0032645586670806415,0.014970191276818015,0.0001120533134322591,2000,True,81,0.014970191276818015,0.0001120533134322591,0.005998257090637837,2000,,False,57.244900749996305,57.2352045411244,0.005995185703366546,0.005995185703366546,0.0032630519251365953,0.015094794103591713,0.00011392640451491358,2000,True,81,0.015094794103591713,0.00011392640451491358,0.005995185703366546,2000,,-3.071387271291748e-06,0.00012460282677369781,0.9409689797620832,0.0005309650480948419,0.0009015074963087538
250,20,2502123,0.5,0.1,0.02,2000,16,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,58.35133866686374,58.32641429128125,0.0023260659050249877,0.0023260659050249877,0.0022668047103970856,0.00953698156865637,4.547700872044566e-05,2000,True,81,0.00953698156865637,4.547700872044566e-05,0.0023260659050249877,2000,,False,55.9435113328509,55.930026249960065,0.0023264175637401907,0.0023264175637401907,0.0022670951553492302,0.009669520940078214,4.674981760530554e-05,2000,True,81,0.009669520940078214,4.674981760530554e-05,0.0023264175637401907,2000,,3.5165871520304037e-07,0.0001325393714218439,0.9587356967462312,0.0005061212163308196,0.0005412682038589134
250,20,2502124,0.5,0.1,0.02,2000,16,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,57.97994325030595,57.96507133310661,0.004205488216159514,0.003043874070774999,0.004205488216159514,0.011090455578898954,6.149910247376546e-05,2000,True,81,0.011090455578898954,6.149910247376546e-05,0.004205488216159514,2000,,False,56.62188208429143,56.60901212505996,0.004204410513662493,0.0030440052026270426,0.004204410513662493,0.011086878659698839,6.145943920744276e-05,2000,True,81,0.011086878659698839,6.145943920744276e-05,0.004204410513662493,2000,,-1.0777024970209936e-06,-3.5769192001152555e-06,0.9765770525136318,0.00034607411260347,0.0005303736296646891
250,20,2502125,0.5,0.1,0.02,2000,16,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,57.81584458285943,57.800467249937356,0.0028962328264541815,0.0023461673652812043,0.0028962328264541815,0.009676483689130376,4.6817168293003105e-05,2000,True,81,0.009676483689130376,4.6817168293003105e-05,0.0028962328264541815,2000,,False,56.15902933385223,56.14587975014001,0.002896182027685046,0.0023453662871983916,0.002896182027685046,0.009601067504766334,4.609024861554002e-05,2000,True,81,0.009601067504766334,4.609024861554002e-05,0.002896182027685046,2000,,-5.07987691356071e-08,-7.541618436404142e-05,0.9713432319295672,0.0003766413909849012,0.0004203673764227381
30,20,302123,0.5,0.1,0.02,2000,6,1.25,0.5,0.001,25,25,"full_batch,minibatch",False,56.56000699987635,56.5498863752,0.013362582428688041,0.012299052559539225,0.013362582428688041,0.023891846881767494,0.00028541017371091153,2000,True,81,0.023891846881767494,0.00028541017371091153,0.013362582428688041,2000,,False,55.190029541030526,55.18211012519896,0.01337701042458106,0.01229238137516142,0.01337701042458106,0.023805310198839615,0.0002833463968314887,2000,True,81,0.023805310198839615,0.0002833463968314887,0.01337701042458106,2000,,1.4427995893018242e-05,-8.653668292787908e-05,0.9757783364692861,0.001294955559683085,0.0008455084248685726
30,20,302124,0.5,0.1,0.02,2000,6,1.25,0.5,0.001,25,25,"full_batch,minibatch",False,57.45062158303335,57.440247582737356,0.011241064859819183,0.011241064859819183,0.009825245936312232,0.019964123765160012,0.0001992831188553134,2000,True,81,0.019964123765160012,0.0001992831188553134,0.011241064859819183,2000,,False,54.78617304097861,54.778251165989786,0.011243697291161925,0.011243697291161925,0.009828527008334809,0.01987169094193176,0.00019744205044582637,2000,True,81,0.01987169094193176,0.00019744205044582637,0.011243697291161925,2000,,2.6324313427417145e-06,-9.243282322825286e-05,0.9536219370889867,0.0007961879298906682,0.0008710562933041191
30,20,302125,0.5,0.1,0.02,2000,6,1.25,0.5,0.001,25,25,"full_batch,minibatch",False,56.6588922906667,56.6482592090033,0.019310258785956158,0.01136839663336725,0.019310258785956158,0.023723243289270987,0.00028139613608097044,2000,True,81,0.023723243289270987,0.00028139613608097044,0.019310258785956158,2000,,False,54.744645124766976,54.73663316620514,0.019309265666817232,0.011365644066032576,0.019309265666817232,0.02373054598786437,0.00028156940644107287,2000,True,81,0.02373054598786437,0.00028156940644107287,0.019309265666817232,2000,,-9.931191389256355e-07,7.302698593381757e-06,0.9662145324677472,0.0006375327479994225,0.000766431213890674
100,20,1002123,0.5,0.1,0.02,2000,10,1.25,0.5,0.001,25,25,"full_batch,minibatch",False,56.87363783409819,56.86197770899162,0.008902481671722584,0.008902481671722584,0.0037341263993131424,0.013473830295312008,9.077205141343384e-05,2000,True,81,0.013473830295312008,9.077205141343384e-05,0.008902481671722584,2000,,False,55.08007783303037,55.070890583097935,0.008901891306518861,0.008901891306518861,0.0037335389458407198,0.013472056000073444,9.074814643455745e-05,2000,True,81,0.013472056000073444,9.074814643455745e-05,0.008901891306518861,2000,,-5.903652037231311e-07,-1.7742952385640248e-06,0.9684641238125179,0.0005250454980491939,0.0005706988458110684
100,20,1002124,0.5,0.1,0.02,2000,10,1.25,0.5,0.001,25,25,"full_batch,minibatch",False,57.07827795902267,57.06676408275962,0.004771296573234607,0.004771296573234607,0.0028331536923247858,0.010344507388641132,5.350441655682549e-05,2000,True,81,0.010344507388641132,5.350441655682549e-05,0.004771296573234607,2000,,False,55.16283370833844,55.153311958070844,0.0047708763206154026,0.0047708763206154026,0.0028351728159048406,0.010327309488097163,5.3326660631470844e-05,2000,True,81,0.010327309488097163,5.3326660631470844e-05,0.0047708763206154026,2000,,-4.202526192043088e-07,-1.7197900543969302e-05,0.9664418002929354,0.0005544711218280207,0.0006678649379755833
