risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,250,20,3502123,0.5,0.5,0.1,0.02,15.0,0.5,500,16,0.001,100,100,full_batch,0,0,0,False,nan,nan,max_iter,,0.027069322486470197,0.0003663741099382605,0.0032134238789102154,0.001647539190732239,0.0032134238789102154,0.4989788236249419,0.49856093068264457
cvar,250,20,3502123,0.5,0.5,0.1,0.02,15.0,0.5,500,16,0.001,100,100,full_batch,0,100,100,False,nan,nan,max_iter,,0.707111206885096,0.25000312945124853,0.0028739444367966716,0.0016172954666681116,0.0028739444367966716,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.1,0.02,15.0,0.5,500,16,0.001,100,100,full_batch,0,200,200,False,nan,nan,max_iter,,0.7071071607048088,0.25000026836000816,0.0028561081253431486,0.0016171355373882923,0.0028561081253431486,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.1,0.02,15.0,0.5,500,16,0.001,100,100,full_batch,0,300,300,False,nan,nan,max_iter,,0.707106839612577,0.2500000413134434,0.0028518392861070496,0.0016170254517484106,0.0028518392861070496,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.1,0.02,15.0,0.5,500,16,0.001,100,100,full_batch,0,400,400,False,nan,nan,max_iter,,0.707106793364217,0.25000000861091276,0.0028504058862214854,0.0016169618443676037,0.0028504058862214854,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.1,0.02,15.0,0.5,500,16,0.001,100,100,full_batch,0,500,500,False,nan,nan,max_iter,,0.7071067842665948,0.2500000021779223,0.00284983130788935,0.001616926318175671,0.00284983130788935,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,0,500,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.707502450204198,0.2502798585224718,0.0028498313078891835,0.001616926318175671,0.0028498313078891835,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,100,600,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7073745166371992,0.2501893533938556,0.0026863033878816167,0.0016096920746229704,0.0026863033878816167,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,200,700,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7073321760747482,0.2501594036553193,0.002626591650580712,0.0016064853185042693,0.002626591650580712,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,300,800,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7073043602122019,0.2501397289875961,0.0025854613033810536,0.0016040863979467357,0.0025854613033810536,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,400,900,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072836387569601,0.25012507282664304,0.002553352535093145,0.0016018775159232224,0.002553352535093145,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,500,1000,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072672197488089,0.250113460065605,0.0025266444963912282,0.0016004023979996895,0.0025266444963912282,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,600,1100,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072537118794082,0.2501039064836005,0.002503705628152275,0.0015994165029836749,0.002503705628152275,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,700,1200,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072423111493069,0.25009584333990653,0.0024835737077132936,0.0015985527988566783,0.0024835737077132936,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,800,1300,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072325075104569,0.25008890983976423,0.002465555837702693,0.0015979002155817046,0.002465555837702693,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,900,1400,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072239557573005,0.25008286179850203,0.0024494928003584437,0.0015975892995122587,0.0024494928003584437,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,1000,1500,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072164108273726,0.25007752587177556,0.0024349981260975984,0.001597300642779298,0.0024349981260975984,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,1100,1600,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072096922376123,0.25007277439740916,0.002422162448589449,0.0015969909571476038,0.002422162448589449,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,1200,1700,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7072036631262006,0.25006851056955837,0.0024106687342459465,0.0015967159780039264,0.0024106687342459465,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,1300,1800,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7071982172098087,0.25006465921236587,0.0024000865740502197,0.0015966246568606124,0.0024000865740502197,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,1400,1900,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7071932703024274,0.2500611607805211,0.0023902271166673095,0.0015965456535853573,0.0023902271166673095,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.03,0.01,12.0,0.5,1500,16,0.001,100,100,full_batch,1,1500,2000,False,0.0004688264621072191,0.16451025041704756,max_iter,,0.7071887545972001,0.25005796731436947,0.002381004845782131,0.00159646018806342,0.002381004845782131,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,0,2000,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075962868880363,0.2503462526088681,0.0023810048457821864,0.0015964601880632534,0.0023810048457821864,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,100,2100,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.707580806012664,0.2503352985187656,0.0023321095631477218,0.0015995492952936008,0.0023321095631477218,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,200,2200,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075741542080812,0.25033059185164075,0.002310933155850403,0.0016006551085537835,0.002310933155850403,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,300,2300,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075691399917861,0.25032704393435784,0.002294922053498738,0.0016014664807770251,0.002294922053498738,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,400,2400,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075649731842504,0.25032409563861446,0.002281694138012935,0.0016021395044802933,0.002281694138012935,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,500,2500,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075613473163533,0.2503215301080666,0.002270349540478833,0.0016027314432723871,0.002270349540478833,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,600,2600,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.707558105177462,0.2503192361011602,0.002260156073676578,0.001603233847089769,0.002260156073676578,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,700,2700,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075551533913816,0.2503171475453508,0.002250834557758985,0.0016035030241886572,0.002250834557758985,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,800,2800,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075524311383181,0.2503152214048722,0.002242203069938331,0.0016037160272323603,0.002242203069938331,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,900,2900,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075498961907256,0.2503134277997533,0.0022341218912841354,0.0016038727803269759,0.0022341218912841354,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,1000,3000,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.707547517817967,0.25031174498518316,0.0022265056255625915,0.0016040718782845964,0.0022265056255625915,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,1100,3100,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075452728331157,0.2503101565542441,0.0022192922929790693,0.0016044046224524822,0.0022192922929790693,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,1200,3200,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075431432322147,0.25030864976746114,0.002212427848283016,0.0016047851728483442,0.002212427848283016,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,1300,3300,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075411147058666,0.25030721449961013,0.002205869318050502,0.0016051628282819363,0.002205869318050502,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,1400,3400,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075391756588758,0.2503058425460208,0.002199581864953837,0.0016055360580866096,0.002199581864953837,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.01,0.005,9.0,0.5,1500,16,0.001,100,100,full_batch,2,1500,3500,False,0.00018746482007747645,0.07873348952210828,max_iter,,0.7075373165408437,0.25030452714890905,0.0021935400257046545,0.001605846948424583,0.0021935400257046545,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,0,3500,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077961448833833,0.25048769135588966,0.00219354002570471,0.001605846948424694,0.00219354002570471,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,100,3600,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.707792664943648,0.2504852282740156,0.0021782903702114442,0.0016086411415747182,0.0021782903702114442,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,200,3700,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077911378767983,0.2504841474284664,0.0021715532255636716,0.001609879545489079,0.0021715532255636716,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,300,3800,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077899738420947,0.2504833235356966,0.002166391940409018,0.0016108285317660842,0.002166391940409018,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,400,3900,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077889979672831,0.25048263282176536,0.0021621357616737336,0.0016116274743962489,0.0021621357616737336,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,500,4000,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077881423840305,0.25048202724971835,0.002158489286882448,0.0016123304699451335,0.002158489286882448,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,600,4100,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077873722560811,0.2504814821625842,0.002155199871113178,0.0016129652882306833,0.002155199871113178,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,700,4200,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077866668797429,0.25048098290636805,0.002152181033236167,0.001613548434700629,0.002152181033236167,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,800,4300,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.70778601276183,0.25048051993064463,0.002149376409115833,0.0016140906673525746,0.002149376409115833,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,900,4400,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077854005284401,0.25048008660060217,0.0021467468404811063,0.0016145994605542002,0.0021467468404811063,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.003,0.002,6.0,0.5,1000,16,0.001,100,100,full_batch,3,1000,4500,False,4.927621293593365e-05,0.022464241526709377,max_iter,,0.7077848233538456,0.25047967808501725,0.002144263812768721,0.0016150802573237644,0.002144263812768721,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,0,4500,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078708071343291,0.2505405397965033,0.0021442638127684988,0.0016150802573235978,0.0021442638127684988,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,100,4600,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078683621211731,0.25053880904605613,0.0021386406684334447,0.001617229141882448,0.0021386406684334447,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,200,4700,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078672836193992,0.2505380456093535,0.0021361988422954337,0.0016181847368915703,0.0021361988422954337,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,300,4800,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078664592172776,0.2505374620424029,0.00213431652408147,0.0016189184061354833,0.00213431652408147,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,400,4900,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078657665402374,0.25053697171979894,0.0021327443829265436,0.001619537017344408,0.0021327443829265436,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,500,5000,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078651580909092,0.25053654101953393,0.002131476007743105,0.0016200820508386893,0.002131476007743105,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.001,0.001,4.0,0.5,1000,16,0.001,100,100,full_batch,4,600,5100,False,1.391577756537643e-05,0.006489769347647606,stagnation,,0.7078646094875972,0.2505361526825143,0.0021303480352033444,0.0016205748003700338,0.0021303480352033444,-13.23666252646304,13.34290284816272
cvar,250,20,3502123,0.5,0.5,0.0003,0.0005,2.5,0.5,1000,16,0.001,100,100,full_batch,5,0,5100,True,5.04834377013097e-06,0.0023697272402014346,stagnation,stage_stagnation,0.7078956325802066,0.25055811331306543,0.0021303480352034554,0.0016205748003700338,0.0021303480352034554,-13.23666252646304,13.34290284816272
