risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502124,0.5,nan,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,0,0,False,nan,nan,max_iter,,0.027141139126649835,0.00036832071654608126,0.004366735011059386,0.003089684354766087,0.004366735011059386,nan,nan
msd,250,20,2502124,0.5,nan,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,100,100,False,nan,nan,max_iter,,0.0005667599545875138,1.6060842306202034e-07,0.004102334669744412,0.0030149495203723453,0.004102334669744412,nan,nan
msd,250,20,2502124,0.5,nan,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,200,200,False,nan,nan,max_iter,,0.00010731198591099555,5.757931160080853e-09,0.004098137729137086,0.003013651489252811,0.004098137729137086,nan,nan
msd,250,20,2502124,0.5,nan,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,300,300,False,nan,nan,max_iter,,3.021559432015351e-05,4.5649107006004654e-10,0.004097459763369338,0.00301343795018566,0.004097459763369338,nan,nan
msd,250,20,2502124,0.5,nan,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,400,400,False,nan,nan,max_iter,,1.0439858709766445e-05,5.4495324939943154e-11,0.004097291373610368,0.003013384238384653,0.004097291373610368,nan,nan
msd,250,20,2502124,0.5,nan,0.1,0.02,20.0,0.5,500,16,0.001,100,100,full_batch,0,500,500,False,nan,nan,max_iter,,4.10944582741371e-06,8.443772504223975e-12,0.004097239014587473,0.0030133675326525777,0.004097239014587473,nan,nan
msd,250,20,2502124,0.5,nan,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,0,500,False,0.0004664158416745612,0.11383662022497897,max_iter,,0.018567645727810767,0.0001723787339367447,0.004097239014587473,0.0030133675326525777,0.004097239014587473,nan,nan
msd,250,20,2502124,0.5,nan,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,100,600,False,0.0004664158416745612,0.11383662022497897,max_iter,,0.013117323143119428,8.603208322050828e-05,0.003916705433516132,0.0029436398103850347,0.003916705433516132,nan,nan
msd,250,20,2502124,0.5,nan,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,200,700,False,0.0004664158416745612,0.11383662022497897,max_iter,,0.011260598766825705,6.34005422937183e-05,0.003853587803074432,0.0029192302127906133,0.003853587803074432,nan,nan
msd,250,20,2502124,0.5,nan,0.03,0.01,19.0,0.5,1500,16,0.001,100,100,full_batch,1,300,800,False,0.0004664158416745612,0.11383662022497897,max_iter,,0.010021903459224994,5.021927447301294e-05,0.003811149312509532,0.0029036127760180275,0.003811149312509532,nan,nan
