K,n,seed,gamma,entropy_kappa,smoothing_tau,max_iter,minibatch_size,step_size,step_decay,regret_tolerance,record_every,certify_every,methods,full_batch_success,full_batch_time_s,full_batch_solve_time_s,full_batch_eta,full_batch_regret1,full_batch_regret2,full_batch_residual_norm,full_batch_objective,full_batch_iterations,full_batch_has_profile,full_batch_history_len,full_batch_best_residual_norm,full_batch_best_objective,full_batch_best_certificate_eta,full_batch_best_certificate_iteration,full_batch_error,minibatch_success,minibatch_time_s,minibatch_solve_time_s,minibatch_eta,minibatch_regret1,minibatch_regret2,minibatch_residual_norm,minibatch_objective,minibatch_iterations,minibatch_has_profile,minibatch_history_len,minibatch_best_residual_norm,minibatch_best_objective,minibatch_best_certificate_eta,minibatch_best_certificate_iteration,minibatch_error,eta_diff_minibatch_minus_full_batch,residual_diff_minibatch_minus_full_batch,time_ratio_minibatch_over_full_batch,x_l1_minibatch_minus_full_batch,y_l1_minibatch_minus_full_batch
30,20,302123,0.5,0.05,0.1,300,6,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,9.219178833067417,8.527915834449232,0.014190888932875456,0.013387761633420647,0.014190888932875456,0.06887318057708926,0.0023717575014021723,300,True,13,0.06887318057708926,0.0023717575014021723,0.014190888932875456,300,,False,7.251406749710441,7.242627250030637,0.014190798270379668,0.013387657449226709,0.014190798270379668,0.06887238986040518,0.0023717030425418214,300,True,13,0.06887238986040518,0.0023717030425418214,0.014190798270379668,300,,-9.066249578859598e-08,-7.907166840737112e-07,0.7865566859058035,8.523369096832822e-06,6.551744965443973e-06
100,20,1002123,0.5,0.05,0.1,300,10,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.926441082730889,7.908933874685317,0.00939899563849017,0.00939899563849017,0.003913122843124506,0.04163876114124304,0.0008668932146887457,300,True,13,0.04163876114124304,0.0008668932146887457,0.00939899563849017,300,,False,7.421576832886785,7.411462250165641,0.009398980001242785,0.009398980001242785,0.003913110839687373,0.041638720698591376,0.000866891530707651,300,True,13,0.041638720698591376,0.000866891530707651,0.009398980001242785,300,,-1.563724738584682e-08,-4.044265166508465e-08,0.9363063139466163,3.3484547956458277e-06,3.7046832953926967e-06
30,20,302123,0.5,0.05,0.1,300,6,0.05,0.5,0.001,25,25,"full_batch,minibatch",False,7.81089024990797,7.801996833179146,0.014178239864630071,0.013373324454467928,0.014178239864630071,0.06864537824176473,0.002356093976977473,300,True,13,0.06864537824176473,0.002356093976977473,0.014178239864630071,300,,False,7.3283289996907115,7.318703874945641,0.014177788066959629,0.013372805384979647,0.014177788066959629,0.06864144398450837,0.0023558239161392005,300,True,13,0.06864144398450837,0.0023558239161392005,0.014177788066959629,300,,-4.5179767044212227e-07,-3.934257256352214e-06,0.9382194302086188,4.253465433780301e-05,3.2672491069127285e-05
100,20,1002123,0.5,0.05,0.1,300,10,0.05,0.5,0.001,25,25,"full_batch,minibatch",False,7.475233249831945,7.465227250009775,0.009393622637129062,0.009393622637129062,0.003911265785787377,0.041493357983111365,0.0008608493783573158,300,True,13,0.041493357983111365,0.0008608493783573158,0.009393622637129062,300,,False,7.345628583803773,7.335260667372495,0.009393544722870462,0.009393544722870462,0.00391120599567818,0.041493158989884406,0.0008608411214799125,300,True,13,0.041493158989884406,0.0008608411214799125,0.009393544722870462,300,,-7.791425860048662e-08,-1.9899322695887678e-07,0.9826621241509641,1.6701710602751163e-05,1.848046530389391e-05
30,20,302123,0.5,0.05,0.1,300,6,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.571994416881353,7.563309625256807,0.014132662093296111,0.013321085977620772,0.014132662093296111,0.06779983597402217,0.0022984088790521553,300,True,13,0.06779983597402217,0.0022984088790521553,0.014132662093296111,300,,False,7.319021958857775,7.310346166137606,0.014131337222596352,0.01331902181827821,0.014131337222596352,0.06778438489750295,0.002297361417966413,300,True,13,0.06778438489750295,0.002297361417966413,0.014131337222596352,300,,-1.324870699759284e-06,-1.5451076519221174e-05,0.9665910400753084,0.00016891162786283193,0.00012940826647642872
100,20,1002123,0.5,0.05,0.1,300,10,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.40717808296904,7.396852583158761,0.009373664926176417,0.009373664926176417,0.003904395891867418,0.04095294366349631,0.0008385717973527514,300,True,13,0.04095294366349631,0.0008385717973527514,0.009373664926176417,300,,False,7.609875707887113,7.598707583267242,0.009373357309172103,0.009373357309172103,0.0039041601040478158,0.04095219538610626,0.0008385411534709115,300,True,13,0.04095219538610626,0.0008385411534709115,0.009373357309172103,300,,-3.076170043136983e-07,-7.482773900502337e-07,1.0273650265523016,6.620252860942838e-05,7.328189403166263e-05
30,20,302123,0.5,0.05,0.02,300,6,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.328840833622962,7.320299957878888,0.014190872927249798,0.013387785922781226,0.014190872927249798,0.069330262220005,0.0024033426297473265,300,True,13,0.069330262220005,0.0024033426297473265,0.014190872927249798,300,,False,7.303762624971569,7.294635165948421,0.014190782942094415,0.013387685489236134,0.014190782942094415,0.06932928538167123,0.0024032749057666058,300,True,13,0.06932928538167123,0.0024032749057666058,0.014190782942094415,300,,-8.998515538261032e-08,-9.768383337771525e-07,0.9965781480017494,9.274060449482313e-06,7.096491597823051e-06
100,20,1002123,0.5,0.05,0.02,300,10,0.01,0.5,0.001,25,25,"full_batch,minibatch",False,7.417306291870773,7.406921375077218,0.009398964755873762,0.009398964755873762,0.003913094173836784,0.042024114003286976,0.0008830130788806303,300,True,13,0.042024114003286976,0.0008830130788806303,0.009398964755873762,300,,False,7.496896500233561,7.4844457088038325,0.00939895095492066,0.00939895095492066,0.003913088448859736,0.04202421497320925,0.0008830173220572521,300,True,13,0.04202421497320925,0.0008830173220572521,0.00939895095492066,300,,-1.3800953102549585e-08,1.0096992227037749e-07,1.0107303386473359,3.7784949717400984e-06,3.94851969735821e-06
30,20,302123,0.5,0.05,0.02,300,6,0.05,0.5,0.001,25,25,"full_batch,minibatch",False,7.350485499948263,7.3417733339592814,0.014178161185086025,0.013373446085217122,0.014178161185086025,0.06909499606505042,0.002387059240614666,300,True,13,0.06909499606505042,0.002387059240614666,0.014178161185086025,300,,False,7.3645855421200395,7.355472750030458,0.014177712779867846,0.013372945759350885,0.014177712779867846,0.06909013537356917,0.0023867234029690573,300,True,13,0.06909013537356917,0.0023867234029690573,0.014177712779867846,300,,-4.484052181785714e-07,-4.860691481242685e-06,1.0019182463759537,4.626897865138424e-05,3.5373992580335634e-05
100,20,1002123,0.5,0.05,0.02,300,10,0.05,0.5,0.001,25,25,"full_batch,minibatch",False,7.343341375235468,7.333150374703109,0.009393468995204712,0.009393468995204712,0.00391112278348571,0.04187233003734728,0.0008766460113782675,300,True,13,0.04187233003734728,0.0008766460113782675,0.009393468995204712,300,,False,7.397569417022169,7.385445875115693,0.00939340017983159,0.00939340017983159,0.003911094255250269,0.04187283552874978,0.0008766671776088648,300,True,13,0.04187283552874978,0.0008766671776088648,0.00939340017983159,300,,-6.881537312208863e-08,5.054914024998913e-07,1.007384654888792,1.8851477855200138e-05,1.9701990801181124e-05
30,20,302123,0.5,0.05,0.02,300,6,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.66312929103151,7.654557125177234,0.014132754327584485,0.013321166668916085,0.014132754327584485,0.06822197856499546,0.00232711917966135,300,True,13,0.06822197856499546,0.00232711917966135,0.014132754327584485,300,,False,7.830988584086299,7.822223209310323,0.01413148011449622,0.013319135282914285,0.01413148011449622,0.06820288372053901,0.0023258166738986826,300,True,13,0.06820288372053901,0.0023258166738986826,0.01413148011449622,300,,-1.2742130882648084e-06,-1.909484445644649e-05,1.021904797202266,0.0001835646633832691,0.00013988494883211688
100,20,1002123,0.5,0.05,0.02,300,10,0.2,0.5,0.001,25,25,"full_batch,minibatch",False,7.572039624676108,7.562087541911751,0.009373061798483184,0.009373061798483184,0.0039038289796823333,0.04130835776492961,0.0008531902106177102,300,True,13,0.04130835776492961,0.0008531902106177102,0.009373061798483184,300,,False,7.445432791952044,7.435175084043294,0.009372789356464739,0.009372789356464739,0.003903716302125382,0.04131038917979576,0.0008532741270930932,300,True,13,0.04131038917979576,0.0008532741270930932,0.009372789356464739,300,,-2.724420184452292e-07,2.0314148661479403e-06,0.9832796922626406,7.479504243605717e-05,7.820250060052575e-05
