K,n,seed,gamma,entropy_kappa,smoothing_tau,max_iter,minibatch_size,step_size,step_decay,regret_tolerance,record_every,certify_every,methods,full_batch_success,full_batch_time_s,full_batch_solve_time_s,full_batch_eta,full_batch_regret1,full_batch_regret2,full_batch_residual_norm,full_batch_objective,full_batch_iterations,full_batch_has_profile,full_batch_history_len,full_batch_best_residual_norm,full_batch_best_objective,full_batch_best_certificate_eta,full_batch_best_certificate_iteration,full_batch_error,minibatch_success,minibatch_time_s,minibatch_solve_time_s,minibatch_eta,minibatch_regret1,minibatch_regret2,minibatch_residual_norm,minibatch_objective,minibatch_iterations,minibatch_has_profile,minibatch_history_len,minibatch_best_residual_norm,minibatch_best_objective,minibatch_best_certificate_eta,minibatch_best_certificate_iteration,minibatch_error,eta_diff_minibatch_minus_full_batch,residual_diff_minibatch_minus_full_batch,time_ratio_minibatch_over_full_batch,x_l1_minibatch_minus_full_batch,y_l1_minibatch_minus_full_batch
30,20,302123,0.5,0.05,0.02,1000,6,0.3,0.5,0.001,25,25,"full_batch,minibatch",False,31.236460083164275,30.875012500211596,0.014039060091994127,0.013205221339419593,0.014039060091994127,0.0661943559155292,0.002190846377535878,1000,True,41,0.0661943559155292,0.002190846377535878,0.014039060091994127,1000,,False,28.867060250137,28.856306333094835,0.014039547978392464,0.013202848272467649,0.014039547978392464,0.06617844114603182,0.0021897930362593985,1000,True,41,0.06617844114603182,0.0021897930362593985,0.014039547978392464,1000,,4.878863983370785e-07,-1.5914769497388237e-05,0.924146339671046,0.00026033254223375296,0.00017095381131276843
100,20,1002123,0.5,0.05,0.02,1000,10,0.3,0.5,0.001,25,25,"full_batch,minibatch",False,32.05973841715604,32.034976332914084,0.009325673879768737,0.009325673879768737,0.0038868520860996236,0.039994125190430205,0.0007997650248739019,1000,True,41,0.039994125190430205,0.0007997650248739019,0.009325673879768737,1000,,False,29.899286875035614,29.888682417105883,0.009325550747862177,0.009325550747862177,0.0038866820101151056,0.039995184104221704,0.0007998073757652942,1000,True,41,0.039995184104221704,0.0007998073757652942,0.009325550747862177,1000,,-1.2313190655977024e-07,1.0589137914990276e-06,0.9326116915238363,0.00012086408888361405,0.00014029069788397408
30,20,302123,0.5,0.05,0.02,1000,6,0.4,0.5,0.001,25,25,"full_batch,minibatch",False,28.34656949993223,28.336358833126724,0.013992859608867314,0.01314664093813972,0.013992859608867314,0.06517201634876499,0.0021236958574818456,1000,True,41,0.06517201634876499,0.0021236958574818456,0.013992859608867314,1000,,False,27.000111249741167,26.990539041813463,0.013993614340310712,0.013143593730066627,0.013993614340310712,0.06515142565682756,0.0021223541325585643,1000,True,41,0.06515142565682756,0.0021223541325585643,0.013993614340310712,1000,,7.547314433975494e-07,-2.059069193742491e-05,0.9525001340922653,0.000342386953169016,0.00022581446591805193
100,20,1002123,0.5,0.05,0.02,1000,10,0.4,0.5,0.001,25,25,"full_batch,minibatch",False,27.45693116635084,27.445519417058676,0.009301796217342118,0.009301796217342118,0.003878532673009305,0.039329236910289306,0.0007733944379728313,1000,True,41,0.039329236910289306,0.0007733944379728313,0.009301796217342118,1000,,False,28.185760208405554,28.175995165947825,0.009301637195221868,0.009301637195221868,0.003878307698848782,0.039330633835177715,0.000773449378938413,1000,True,41,0.039330633835177715,0.000773449378938413,0.009301637195221868,1000,,-1.5902212024965223e-07,1.3969248884096452e-06,1.0265444465602882,0.00015941121578046114,0.00018502457011878443
30,20,302123,0.5,0.05,0.02,1000,6,0.5,0.5,0.001,25,25,"full_batch,minibatch",False,29.599548707716167,29.58860466722399,0.01394825670966987,0.0130891482333097,0.01394825670966987,0.06416998474272259,0.002058893470940625,1000,True,41,0.06416998474272259,0.002058893470940625,0.01394825670966987,1000,,False,30.830020332708955,30.82151462510228,0.013949325300366577,0.013085480191929177,0.013949325300366577,0.06414500768847693,0.0020572910056773823,1000,True,41,0.06414500768847693,0.0020572910056773823,0.013949325300366577,1000,,1.0685906967067282e-06,-2.497705424565899e-05,1.0415706211315316,0.0004223479481037101,0.00027965591900737385
100,20,1002123,0.5,0.05,0.02,1000,10,0.5,0.5,0.001,25,25,"full_batch,minibatch",False,30.260382959153503,30.248837999999523,0.009278371809837427,0.009278371809837427,0.003870340947442208,0.03867614924805519,0.0007479222603289199,1000,True,41,0.03867614924805519,0.0007479222603289199,0.009278371809837427,1000,,False,27.985457041766495,27.974319708067924,0.009278179414991483,0.009278179414991483,0.003870072544103653,0.038677877296333055,0.000747989096075098,1000,True,41,0.038677877296333055,0.000747989096075098,0.009278179414991483,1000,,-1.923948459436886e-07,1.7280482778672668e-06,0.9248216415351458,0.00019711505593260348,0.0002287805558112352
30,20,302123,0.5,0.05,0.02,1000,6,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,29.433816249947995,29.422296792268753,0.013749286308299191,0.012817084008002078,0.013749286308299191,0.059445421749861324,0.001766879083509443,1000,True,41,0.059445421749861324,0.001766879083509443,0.013749286308299191,1000,,False,29.403463874943554,29.39471837459132,0.013752507013989113,0.01281101354019254,0.013752507013989113,0.05940239243871017,0.0017643221137212657,1000,True,41,0.05940239243871017,0.0017643221137212657,0.013752507013989113,1000,,3.220705689921388e-06,-4.302931115115344e-05,0.9989687924003231,0.0007907684531584941,0.0005362779169121451
100,20,1002123,0.5,0.05,0.02,1000,10,1.0,0.5,0.001,25,25,"full_batch,minibatch",False,28.052101290784776,28.040093333926052,0.009167714260796822,0.009167714260796822,0.0038297138429107536,0.03557938175834349,0.0006329462031529729,1000,True,41,0.03557938175834349,0.0006329462031529729,0.009167714260796822,1000,,False,28.623194875195622,28.6138463341631,0.009167391475511322,0.009167391475511322,0.003829264346248862,0.03558267361960342,0.0006330633309596105,1000,True,41,0.03558267361960342,0.0006330633309596105,0.009167391475511322,1000,,-3.227852855003377e-07,3.291861259926976e-06,1.0203583174925457,0.00037352823772390104,0.0004336256069979935
30,20,302123,0.5,0.1,0.02,1000,6,0.3,0.5,0.001,25,25,"full_batch,minibatch",False,27.30555241694674,27.295275375247,0.013956496458789935,0.013093245653322982,0.013956496458789935,0.057721706745673715,0.0016658977148167771,1000,True,41,0.057721706745673715,0.0016658977148167771,0.013956496458789935,1000,,False,26.763120791874826,26.755397791042924,0.013958433380559743,0.013090735290880007,0.013958433380559743,0.057676990316245715,0.0016633176059701509,1000,True,41,0.057676990316245715,0.0016633176059701509,0.013958433380559743,1000,,1.9369217698073093e-06,-4.4716429428000304e-05,0.9801347500028873,0.00047209195045015,0.0003214852910427418
100,20,1002123,0.5,0.1,0.02,1000,10,0.3,0.5,0.001,25,25,"full_batch,minibatch",False,27.327480166684836,27.31565525010228,0.009268928280647404,0.009268928280647404,0.0038679859702206443,0.03468551595470703,0.0006015425085221179,1000,True,41,0.03468551595470703,0.0006015425085221179,0.009268928280647404,1000,,False,26.603396583814174,26.594259083271027,0.009268869492924103,0.009268869492924103,0.0038676547622963353,0.03469325101139359,0.0006018108328697811,1000,True,41,0.03469325101139359,0.0006018108328697811,0.009268869492924103,1000,,-5.8787723300479655e-08,7.735056686559993e-06,0.9735034632372216,0.00020775022566585366,0.0002492647622847066
