risk,K,n,rep,seed,gamma,alpha,epsilon,low,high,profile,uniform_success,uniform_eta,uniform_regret1,uniform_regret2,uniform_rho1,uniform_rho2,uniform_time_s
msd,30,5,0,300623,0.5,nan,0.01,0.0,1.0,uniform,False,0.020214735249008575,0.014533611478410646,0.020214735249008575,0.4596244660475476,0.4919385401267741,0.002321874722838402
msd,30,5,1,300624,0.5,nan,0.01,0.0,1.0,uniform,False,0.020772601329532958,0.013065255189075864,0.020772601329532958,0.49560360895833033,0.4781829496651646,0.0013354169204831123
msd,30,5,2,300625,0.5,nan,0.01,0.0,1.0,uniform,False,0.03159764814937838,0.03159764814937838,0.014283772133631745,0.49660696388578784,0.4931808790881337,0.001218834426254034
msd,30,5,3,300626,0.5,nan,0.01,0.0,1.0,uniform,False,0.013993954917943974,0.013993954917943974,0.013854485096821523,0.4855965640816788,0.49392259739267874,0.001246000174432993
msd,30,5,4,300627,0.5,nan,0.01,0.0,1.0,uniform,False,0.04169491354130522,0.011802891178229913,0.04169491354130522,0.4954176161587546,0.4755043722919438,0.0014649168588221073
msd,30,5,5,300628,0.5,nan,0.01,0.0,1.0,uniform,False,0.020466221387600236,0.020466221387600236,0.005477932682550146,0.48460083494784567,0.47535013223184575,0.0014509167522192001
msd,30,5,6,300629,0.5,nan,0.01,0.0,1.0,uniform,False,0.013103387427424784,0.005000617535252161,0.013103387427424784,0.5089282677163408,0.5089474601751136,0.001209166832268238
msd,30,5,7,300630,0.5,nan,0.01,0.0,1.0,uniform,False,0.022616304172279833,0.01811563499340879,0.022616304172279833,0.48922567532686195,0.4803473305429207,0.0012378748506307602
msd,30,5,8,300631,0.5,nan,0.01,0.0,1.0,uniform,False,0.026360139739930344,0.026360139739930344,0.005318682240137984,0.49702284738062963,0.4841358263708381,0.0011880421079695225
msd,30,5,9,300632,0.5,nan,0.01,0.0,1.0,uniform,False,0.017360498363412857,0.017360498363412857,0.012550313906735444,0.46122268359242824,0.4934961990197547,0.0011796662583947182
